"CD_A","PER","ENT","CON","V_SEL","N_HOG","N_REN","S3P1","S3P1_2","S3P2","S3P2_ES","S3P3","S3P4_1","S3P4_2","S3P4_3","S3P4_4","S3P4_5","S3P4_6","S3P4_7","S3P5","S3P5_ES","S3P6","S3P7","S3P7_1_1","S3P7_1_2","S3P7_1_3","S3P7_1_4","S3P7_1_5","S3P7_2_1","S3P7_2_2","S3P7_2_3","S3P7_2_4","S3P7_2_5","S3P8","S3P9","S3P10","S3P11_ES","S3P12_C","S3P12_ES","S3P13_ES","S3P14_C","S3P14_ES","S3P15","S4P1_1","S4P1_2","S4P1_3","S4P1_4","S4P1_5","S4P1_6","S4P1_7","S4P1_8","S4P1_1_1A","S4P1_1_2A","S4P1_1_3A","S4P1_1_4A","S4P1_1_5A","S4P1_1_6A","S4P1_1_7A","S4P1_1_8A","S4P1_1_ESA","S4P1_1_1B","S4P1_1_2B","S4P1_1_3B,N,1,0","S4P1_1_4B,N,1,0","S4P1_1_5B,N,1,0","S4P1_1_6B,N,1,0","S4P1_1_7B,N,1,0","S4P1_1_8B,N,1,0","S4P1_1_ESB,C,50","S4P1_1_1C,N,1,0","S4P1_1_2C,N,1,0","S4P1_1_3C,N,1,0","S4P1_1_4C,N,1,0","S4P1_1_5C,N,1,0","S4P1_1_6C,N,1,0","S4P1_1_7C,N,1,0","S4P1_1_8C,N,1,0","S4P1_1_ESC,C,50","S4P1_2_1,N,1,0","S4P1_2_2,N,1,0","S4P1_2_3,N,1,0","S4P1_2_4,N,1,0","S4P1_2_5,N,1,0","S4P1_2_6,N,1,0","S4P1_2_7,N,1,0","S4P2_1,N,1,0","S4P2_2,N,1,0","S4P2_3,N,1,0","S4P2_4,N,1,0","S4P2_5,N,1,0","S4P2_6,N,1,0","S4P2_7,N,1,0","S4P2_8,N,1,0","S4P3_1,N,1,0","S4P3_2,N,1,0","S4P3_3,N,1,0","S4P3_4,N,1,0","S4P3_5,N,1,0","S4P3_6,N,1,0","S4P3_7,N,1,0","S4P3_8,N,1,0","S4P3_9,N,1,0","S4P4,N,3,0","S4P4_1,N,3,0","S4P4_2,N,3,0","S4P4_3,N,3,0","S4P4_4,N,3,0","S4P5,N,3,0","S4P5_1,N,3,0","S4P5_2,N,3,0","S4P5_3,N,3,0","S4P5_4,N,3,0","S4P6,N,1,0","S4P6_1,N,2,0","S4P6_2,N,2,0","S4P6_3,N,2,0","S4P6_4,N,2,0","S4P6_5,N,2,0","S4P7,N,1,0","S4P7_1,N,2,0","S4P7_2,N,2,0","S4P7_3,N,2,0","S4P7_4,N,2,0","S4P7_5,N,2,0","S4P8,N,1,0","S4P8_1_1,N,2,0","S4P8_1_2,N,2,0","S4P8_1_ES,C,50","S4P9,N,1,0","S4P10,N,1,0","S4P10_1,N,3,0","S4P11_1,N,1,0","S4P11_2,N,1,0","S4P11_3,N,1,0","S4P11_4,N,1,0","S4P11_5,N,1,0","S4P11_6,N,1,0","S4P11_7,N,1,0","S4P11_8,N,1,0","S4P11_9,N,1,0","S4P11_10,N,1,0","S4P11_11,N,1,0","S4P11_12,N,1,0","S4P11_13,N,1,0","S4P11_14,N,1,0","S4P11_15,N,1,0","S4P11_16,N,1,0","S4P11_17,N,1,0","S4P11_ES,C,50","S4P12_1,N,1,0","S4P12_2,N,1,0","S4P12_3,N,1,0","S4P12_4,N,1,0","S4P12_5,N,1,0","S4P12_6,N,1,0","S4P12_7,N,1,0","S4P12_8,N,1,0","S4P12_9,N,1,0","S4P12_10,N,1,0","S4P12_1_1,N,1,0","S4P12_1_2,N,1,0","S4P12_1_3,N,1,0","S4P12_1_4,N,1,0","S4P12_1_5,N,1,0","S4P12_1_6,N,1,0","S4P12_1_7,N,1,0","S4P12_1_8,N,1,0","S4P12_1_9,N,1,0","S4P12_1_10,N,1,0","S4P12_1_ES,C,50","S4P12_2_1,N,1,0","S4P12_2_2,N,1,0","S4P12_2_3,N,1,0","S4P12_2_4,N,1,0","S4P12_2_5,N,1,0","S4P12_2_6,N,1,0","S4P12_2_7,N,1,0","S4P12_2_8,N,1,0","S4P12_2_ES,C,50","S4P13_1,N,1,0","S4P13_2,N,1,0","S4P13_3,N,1,0","S4P14_1,N,2,0","S4P14_2,N,2,0","S4P14_3,N,2,0","S4P14_4,N,2,0","S4P14_5,N,2,0","S4P14_6,N,2,0","S4P14_7,N,2,0","S4P14_8,N,2,0","S4P14_9,N,2,0","S4P14_10,N,2,0","S4P14_11,N,2,0","S4P14_12,N,2,0","S4P14_13,N,2,0","S4P14_14,N,2,0","S4P14_15,N,2,0","S4P14_16,N,2,0","S4P14_17,N,2,0","S4P15_1,N,1,0","S4P15_2,N,1,0","S4P15_3,N,1,0","S4P15_4,N,1,0","S4P15_5,N,1,0","S4P15_6,N,1,0","S4P15_7,N,1,0","S4P15_8,N,1,0","S4P15_9,N,1,0","S4P15_10,N,1,0","S4P15_11,N,1,0","S4P15_12,N,1,0","S4P15_13,N,1,0","S4P15_14,N,1,0","S4P15_15,N,1,0","S4P16_1,N,1,0","S4P16_2,N,1,0","S4P16_3,N,1,0","S4P16_4,N,1,0","S4P16_5,N,1,0","S4P16_6,N,1,0","S4P16_7,N,1,0","S4P17_1,N,1,0","S4P17_2,N,1,0","S4P17_3,N,1,0","S4P17_4,N,1,0","S4P17_5,N,1,0","S4P17_6,N,1,0","S4P17_7,N,1,0","S4P17_8,N,1,0","S4P17_9,N,1,0","S4P17_10,N,1,0","S4P17_11,N,1,0","S4P17_12,N,1,0","S4P17_13,N,1,0","S4P17_14,N,1,0","FAC,N,6,0"
40,1117,3,40164,4,1,1,7,5,5517,"INGENIERI EN DESARROLLO COMPUTACIONAL",3,1,1,2,2,1,2,1,1,,27,2,0,0,0,0,0,1,1,2,2,1,1,0,4,"HACER Y ENDER BIRRIA",51,"VENDEDOR DE BIRRIA","NO DIJO",72,"VENTA DE BIRRIA",2,2,2,2,2,3,3,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,1,1,2,1,1,2,2,2,2,3,3,2,2,6,5,3,1,4,2,0,0,0,21,5,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,1,1,15,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,2,2,,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,2,,1,2,1,7,9,7,9,7,8,10,9,9,8,7,9,9,6,9,9,9,3,3,4,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,3,1,1,1,1,2,2,2,2,2,2,3,2,1,2,1,1,833
40,1117,3,40164,1,1,2,3,3,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,"PREPARACION DE ALIMENTOS",51,"COCINERA","PRIMARIA IGNACIO LOPEZ RAYON",72,"COOPERATIVA DE ECUELA",2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,1,1,2,2,1,2,2,4,4,3,4,2,2,1,3,4,2,6,5,0,0,0,3,0,0,3,0,35,10,0,25,0,5,4,0,2,0,2,0,0,0,0,0,0,2,0,0,,1,1,35,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,,2,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,2,,2,1,1,5,10,5,10,10,9,10,10,6,10,9,10,10,1,5,10,10,2,2,4,4,1,2,2,3,2,4,4,4,3,2,3,3,1,1,2,2,1,3,2,2,1,4,2,2,1,2,4,4,2,1,1,2,1666
40,1117,3,40164,5,1,1,3,3,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,"MECANICA MINERA",26,"MECANICO INDUSTRIAL MINERO","ROFOMEX 2",21,"A EXTRAER FOSFORITA",1,2,3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,2,4,2,2,2,2,2,2,6,5,3,1,4,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,1,1,5,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,2,2,,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,,1,1,1,1,10,2,3,4,9,10,10,10,10,5,10,10,1,10,10,10,4,4,4,3,1,1,4,3,4,1,4,1,1,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,1,1,2,1,1,2,1,1,2499
40,1117,3,40172,2,1,2,4,3,,,0,0,0,0,0,0,0,0,1,,19,2,0,0,0,0,0,1,2,2,1,1,5,1,4,"ENSE�AR EL CATALOGO ENTREGAR Y COBRAR PRODUCTO",42,"VENDEDORA POR CATALOGO","ARABELA",46,"VENTA POR CATALOGO DE COSMETICOS",3,3,3,2,3,2,2,3,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,1,1,1,2,2,3,3,3,2,2,3,3,4,6,5,2,1,4,3,0,0,0,14,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,2,0,1,1,4,,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,"MANUALIDADES",2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,,1,2,2,8,8,7,9,8,7,7,9,7,7,5,8,8,8,9,9,6,2,2,4,4,2,2,4,2,2,2,4,2,2,2,2,2,2,2,2,3,2,2,1,1,1,1,1,1,2,2,3,1,1,1,1,1,2442
40,1117,3,40172,1,1,2,4,1,,,0,0,0,0,0,0,0,0,2,,35,1,1,1,1,1,1,0,0,0,0,0,1,0,4,"ELBORACION DE BOTAS NAVIDE�AS",79,"MANUALIDADES","PRIVADO NO TIENE",33,"REALIZACION DE ARTESANIAS",2,2,4,2,2,2,1,1,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,3,4,3,4,3,3,3,4,6,5,3,1,4,2,0,0,0,14,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,,1,1,8,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,,1,1,1,7,8,8,9,7,8,10,10,7,9,8,9,9,6,8,10,10,3,3,4,2,1,1,2,3,2,3,4,3,1,1,3,5,1,1,1,1,1,1,1,2,2,2,1,1,3,3,3,3,1,1,2,3,2442
40,1117,3,40172,4,1,2,4,3,,,0,0,0,0,0,0,0,0,1,,18,2,0,0,0,0,0,2,2,1,2,2,1,0,5,"PREPARACION DE ALIMENTOS Y ATENCION AL PUBLICO",51,"ADINISTRADOR DE TAQUERIA","TACOS OLY",72,"VENTA DE ALIMENTOS",2,2,3,2,4,3,2,2,2,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,,1,1,1,1,1,2,2,2,4,3,4,3,2,2,2,6,5,4,1,2,3,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,1,1,14,2,2,2,1,2,2,1,1,2,2,2,2,1,2,1,2,2,,1,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,,1,2,1,5,5,7,8,8,8,9,9,9,9,9,9,8,8,5,11,7,4,4,3,3,2,2,2,2,2,3,3,3,2,2,2,2,2,2,4,4,2,2,3,2,2,2,2,2,3,3,3,3,2,2,3,3,1628
40,1117,3,40174,3,1,1,3,3,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,"EMPAQUETAR ALIMENTOS DE LAS PERSONAS EN CENTRO COMERCIAL",97,"CERILLITO","CHEDRAUI",46,"TIENDA DE ABARROTES  AL MAYOREO Y MENUDEO",2,3,3,3,3,3,3,3,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,2,2,1,1,2,2,3,3,4,4,3,3,4,4,6,5,4,1,2,3,0,0,0,32,7,7,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,2,,2,2,2,5,6,3,8,8,6,10,10,8,8,9,10,9,3,2,9,9,3,3,4,4,2,1,4,3,3,4,4,2,2,2,2,1,1,1,3,2,1,1,3,3,1,2,1,1,1,2,3,2,3,1,3,3,750
40,1117,3,40174,2,1,1,7,5,5517,"INGENIERO EN COMUNICACIONES Y ELECTRONICA",3,1,2,2,2,2,2,1,1,,22,2,0,0,0,0,0,1,1,2,1,1,1,0,1,"ADMINISTARCION GENERAL",14,"ADMINISTRADOR","AZO O ADA",46,"VENTA Y RENTA DE BICICLETAS",2,2,3,2,2,3,3,2,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,2,2,2,1,1,2,3,2,3,4,4,3,3,4,6,2,1,5,3,0,0,0,8,0,0,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,1,1,56,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,,1,1,1,4,10,7,8,5,2,10,9,7,10,8,10,10,2,4,10,10,3,3,4,2,1,1,1,3,2,4,4,1,1,1,2,1,1,1,3,3,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,3000
40,1117,3,40174,5,1,2,6,3,2334,"CONTADOR PRIVADO",2,0,0,0,0,0,0,0,2,,18,2,0,0,0,0,0,2,2,1,2,2,5,5,0,,0,,,0,,0,2,3,4,4,4,2,2,2,1,2,2,2,2,2,2,2,,2,2,2,2,2,1,2,2,,2,2,2,2,1,2,2,2,,0,0,0,0,0,0,0,2,2,2,3,2,2,2,3,2,3,4,6,1,5,0,0,0,14,7,0,7,0,3,0,0,3,0,1,2,0,0,2,0,0,0,0,0,0,0,2,0,0,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,1,2,,1,2,2,5,10,8,10,8,9,4,6,10,10,9,10,10,7,10,9,9,2,2,4,3,2,2,2,2,3,2,3,2,2,2,2,1,1,1,2,2,1,1,2,3,1,1,1,1,2,2,4,3,2,1,2,2,1500
40,1117,3,40174,1,1,1,3,3,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,"ADMINISTRAR MODELORAMA Y ATENDER A LOS CLIENTES",41,"ENCARGADA DE MODELORAMA","MODELORAMA ABAROA",46,"VENTA DE CERVEZA Y BOTANAS",2,3,4,2,3,3,2,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,2,1,1,1,2,2,3,2,2,4,3,2,2,2,2,5,6,1,4,3,0,0,0,19,5,0,14,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,1,1,21,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,,1,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,1,"NO HAY EN LA CIUDAD",1,1,1,1,8,4,9,1,1,9,9,8,10,4,10,10,1,3,9,10,4,3,4,4,2,2,3,2,3,4,4,2,2,2,3,3,1,3,3,4,5,4,2,2,2,2,1,2,3,2,3,3,3,1,2,2,1500
40,1117,3,40190,4,1,4,4,3,,,0,0,0,0,0,0,0,0,1,,18,2,0,0,0,0,0,1,1,1,1,1,5,5,0,,0,,,0,,0,3,4,3,4,4,3,3,3,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,2,2,2,2,1,2,2,2,,2,2,2,1,1,2,2,3,4,4,3,3,3,3,3,6,4,5,2,1,3,0,0,0,56,14,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,1,1,35,1,1,2,2,2,1,2,1,2,1,2,2,1,1,1,2,2,,1,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,1,2,1,5,9,5,6,6,8,8,8,7,8,6,9,9,4,6,6,6,3,3,4,2,2,2,2,3,2,3,4,2,2,5,2,1,2,3,2,3,2,1,1,2,2,3,3,3,3,3,3,3,3,1,2,2,4440
40,1117,3,40190,2,1,1,2,1,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,"CER TRABAJOS DE PLOMERIA",71,"PLOMERO","PARTICULAR",23,"HACER TRABAJOS DE PLOMERIA EN CASAS PARTICULARES",2,2,2,4,4,4,4,4,4,2,2,2,2,1,2,2,2,,2,2,2,2,1,2,2,2,,2,2,2,2,1,2,2,2,,0,0,0,0,0,0,0,2,2,4,4,4,4,4,4,3,5,6,2,1,4,0,0,0,21,7,0,14,0,35,14,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,5,5,5,6,9,7,11,6,11,7,9,9,10,8,10,8,5,10,11,11,2,2,2,2,2,5,5,5,5,5,3,2,5,5,5,2,2,5,5,5,2,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,740
40,1117,3,40190,1,1,1,6,3,2515,"TECNICO MECANICO NAVAL",2,0,0,0,0,0,0,0,1,,18,2,0,0,0,0,0,2,2,2,2,2,6,5,0,,0,,,0,,0,2,3,3,4,4,4,4,4,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,2,2,2,2,1,2,2,2,,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,5,6,2,1,3,0,0,0,35,14,5,16,0,14,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,1,5,5,8,10,8,5,8,1,5,5,9,10,8,10,10,7,8,7,8,3,2,4,2,2,2,3,3,1,2,2,2,5,5,2,5,5,5,5,5,5,2,3,3,2,4,4,4,4,3,4,4,3,3,3,3,1480
40,1117,3,40190,3,1,2,7,5,5532,"INGENERIA CIVIL",3,1,1,2,1,1,2,1,1,,26,2,0,0,0,0,0,2,2,2,1,1,1,0,1,"ARENDER A LOS CLIENTES Y ADMINISTRAR",42,"ENCARGADO DEL NEGOCIO","4STREET",46,"A LA VENTA DE ROPA",2,1,3,1,1,3,3,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,1,1,3,1,2,3,3,3,3,5,6,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,1,1,70,2,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,2,,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,1,1,1,7,9,5,9,9,7,7,7,7,9,4,8,9,3,5,8,8,3,3,4,2,2,1,2,3,3,4,4,1,2,5,2,2,2,3,3,3,2,2,1,1,1,1,1,1,2,2,2,2,1,3,1,1,1480
40,1117,3,40190,5,1,1,3,3,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,,0,,,0,,0,3,3,4,4,3,3,4,4,2,2,2,2,1,2,2,2,,2,2,2,2,1,2,2,2,,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,3,5,4,1,2,6,0,0,0,14,7,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,1,1,14,1,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,2,,1,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,1,1,5,7,9,6,9,9,7,8,8,9,10,4,10,10,8,10,10,10,4,3,4,3,2,2,4,4,1,1,4,1,1,5,1,2,2,1,3,3,2,2,3,3,2,2,2,2,2,2,4,4,4,2,2,2,740
40,1117,3,40219,4,1,2,9,2,7331,"MAESTRIA EN NEGOCIOS",4,2,2,2,1,1,2,2,2,,30,2,0,0,0,0,0,1,1,1,1,2,1,0,5,"ADMINISTRAR Y CORDINAR",14,"GERENTE","DGRACE",46,"VENTA DE PRODUCTOS DE CUIDADO PERSONAL",2,2,4,2,4,3,3,2,1,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,0,0,0,0,0,0,0,0,,2,2,1,1,1,2,2,2,4,4,4,3,2,4,4,6,5,3,2,4,1,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,1,1,40,1,1,2,2,2,1,1,1,2,1,2,1,1,2,1,2,2,,1,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,,1,2,4,8,6,6,6,4,6,6,6,8,8,8,10,8,6,6,9,9,2,3,4,2,2,2,2,3,2,2,4,2,1,1,2,1,2,2,3,3,2,1,3,3,2,3,3,3,3,3,3,3,2,2,2,2,1784
40,1117,3,40219,1,1,1,9,1,7322,"MAESTRIA EN BIBLIOTECOLOGIA",4,2,2,2,1,1,2,2,1,,32,1,2,2,1,2,2,0,0,0,0,0,1,0,1,"ADMINISTRAR LA BIBLIOTECA",21,"BLIOTECOLOGA","CIBNOR",54,"INVESRIGACION CIENTIFICA",1,2,2,2,4,1,3,2,4,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,3,2,3,3,2,3,3,3,5,2,6,1,4,3,0,0,0,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,1,1,56,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,1,1,1,7,8,6,7,7,7,8,8,8,10,8,9,9,7,7,10,10,3,3,4,4,3,3,2,4,3,3,3,2,3,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,892
40,1117,3,40219,2,1,1,9,2,7112,"DOCENCIA E INOVACION EDUCATIVA",4,2,2,2,1,1,2,2,1,,26,2,0,0,0,0,0,1,1,1,2,1,1,0,1,"COORDINAR LS ACCIONES DE LA JEFATURA DE UN DEPARTEMENTO",15,"JEFE DE DEPARTEMENTO DE EDUCACION ESPECIAL","SEP",93,"COORDINAR LA EDUCACION",1,2,3,3,2,3,3,3,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,2,1,1,2,1,1,2,2,3,3,3,3,3,3,5,4,6,1,2,3,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,1,1,20,2,1,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,,0,0,0,0,0,0,0,0,,1,1,1,8,10,7,5,2,5,9,9,10,9,2,10,10,5,5,8,8,3,3,4,3,2,2,3,3,2,2,3,2,2,2,2,2,2,2,3,3,2,3,2,1,2,2,2,2,2,2,1,2,1,2,2,1,1784
40,1117,3,40219,5,1,1,7,5,5515,"TECNICO EN AVIACION",3,1,1,2,1,1,2,1,1,,22,2,0,0,0,0,0,2,2,2,2,2,1,0,1,"MANTENIMIENTO DE AVIONES",26,"TECNICO EN AVIACION","NS",48,"A DAR MANTENIMIENTO A LOS AVIONES",2,3,4,3,4,3,3,3,3,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,6,5,4,1,2,3,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,1,1,30,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,1,5,1,4,10,6,8,1,9,9,9,10,10,10,10,10,6,2,8,10,4,4,4,4,2,2,3,3,2,4,4,2,3,3,2,3,2,2,3,4,2,2,3,2,2,2,2,3,2,3,2,2,2,3,2,2,892
40,1117,3,40219,3,1,1,7,5,5224,"LICENCIATURA EN HISTORIA",3,2,2,2,1,1,2,2,1,,25,2,0,0,0,0,0,2,2,2,1,2,1,0,1,"MAESTRO DE SECUNDARIA",23,"MAESTRO","SECUNDARIA DAVID PERALTA ODUNA",61,"IMPARTIR CLASES DE SECUNDARIA",2,4,2,2,3,2,2,2,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,2,2,1,1,2,2,2,2,3,4,4,2,3,3,3,6,4,1,5,2,0,0,0,14,7,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,1,1,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,,2,2,2,1,2,2,2,2,,1,1,1,4,8,5,6,2,5,7,7,8,9,9,10,10,3,8,10,10,3,2,3,3,1,1,2,2,2,2,4,1,1,1,1,2,2,2,3,3,2,2,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1784
40,1117,3,40295,5,1,3,3,3,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"HACER MEZCLA Y PEGAR BLOQUES",92,"AYUDANTE DE ALBA�IL","PERSONA PARTICULAR",23,"A LA CONSTRUCCION",2,2,4,4,4,4,4,4,4,2,2,2,2,1,2,2,2,,2,2,2,2,1,2,2,2,,2,2,2,2,1,2,2,2,,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,1,7,0,0,7,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,2,2,2,4,9,4,4,4,4,9,9,10,9,9,9,9,2,5,9,9,5,4,4,3,4,5,5,5,5,5,4,2,5,5,5,2,2,2,2,2,2,2,3,3,3,4,4,4,3,4,4,4,4,3,3,3,4722
