"CD_A,C,2","PER,C,4","ENT,C,2","CON,C,5","V_SEL,C,1","N_HOG,C,1","N_REN,C,2","S3P1,N,2,0","S3P1_2,N,1,0","S3P2,C,4","S3P2_ES,C,50","S3P3,N,1,0","S3P4_1,N,1,0","S3P4_2,N,1,0","S3P4_3,N,1,0","S3P4_4,N,1,0","S3P4_5,N,1,0","S3P4_6,N,1,0","S3P4_7,N,1,0","S3P5,N,1,0","S3P5_ES,C,50","S3P6,N,2,0","S3P7,N,1,0","S3P7_1_1,N,1,0","S3P7_1_2,N,1,0","S3P7_1_3,N,1,0","S3P7_1_4,N,1,0","S3P7_1_5,N,1,0","S3P7_2_1,N,1,0","S3P7_2_2,N,1,0","S3P7_2_3,N,1,0","S3P7_2_4,N,1,0","S3P7_2_5,N,1,0","S3P8,N,1,0","S3P9,N,1,0","S3P10,N,1,0","S3P11_ES,C,100","S3P12_C,N,2,0","S3P12_ES,C,50","S3P13_ES,C,50","S3P14_C,N,2,0","S3P14_ES,C,100","S3P15,N,1,0","S4P1_1,N,1,0","S4P1_2,N,1,0","S4P1_3,N,1,0","S4P1_4,N,1,0","S4P1_5,N,1,0","S4P1_6,N,1,0","S4P1_7,N,1,0","S4P1_8,N,1,0","S4P1_1_1A,N,1,0","S4P1_1_2A,N,1,0","S4P1_1_3A,N,1,0","S4P1_1_4A,N,1,0","S4P1_1_5A,N,1,0","S4P1_1_6A,N,1,0","S4P1_1_7A,N,1,0","S4P1_1_8A,N,1,0","S4P1_1_ESA,C,50","S4P1_1_1B,N,1,0","S4P1_1_2B,N,1,0","S4P1_1_3B,N,1,0","S4P1_1_4B,N,1,0","S4P1_1_5B,N,1,0","S4P1_1_6B,N,1,0","S4P1_1_7B,N,1,0","S4P1_1_8B,N,1,0","S4P1_1_ESB,C,50","S4P1_1_1C,N,1,0","S4P1_1_2C,N,1,0","S4P1_1_3C,N,1,0","S4P1_1_4C,N,1,0","S4P1_1_5C,N,1,0","S4P1_1_6C,N,1,0","S4P1_1_7C,N,1,0","S4P1_1_8C,N,1,0","S4P1_1_ESC,C,50","S4P1_2_1,N,1,0","S4P1_2_2,N,1,0","S4P1_2_3,N,1,0","S4P1_2_4,N,1,0","S4P1_2_5,N,1,0","S4P1_2_6,N,1,0","S4P1_2_7,N,1,0","S4P2_1,N,1,0","S4P2_2,N,1,0","S4P2_3,N,1,0","S4P2_4,N,1,0","S4P2_5,N,1,0","S4P2_6,N,1,0","S4P2_7,N,1,0","S4P3_1,N,1,0","S4P3_2,N,1,0","S4P3_3,N,1,0","S4P3_4,N,1,0","S4P3_5,N,1,0","S4P3_6,N,1,0","S4P3_7,N,1,0","S4P3_8,N,1,0","S4P3_9,N,1,0","S4P4,N,3,0","S4P4_1,N,3,0","S4P4_2,N,3,0","S4P4_3,N,3,0","S4P4_4,N,3,0","S4P5,N,3,0","S4P5_1,N,3,0","S4P5_2,N,3,0","S4P5_3,N,3,0","S4P5_4,N,3,0","S4P6,N,1,0","S4P6_1,N,2,0","S4P6_2,N,2,0","S4P6_3,N,2,0","S4P6_4,N,2,0","S4P6_5,N,2,0","S4P7,N,2,0","S4P7_1,N,2,0","S4P7_2,N,2,0","S4P7_3,N,2,0","S4P7_4,N,2,0","S4P7_5,N,2,0","S4P8,N,1,0","S4P8_1_1,N,2,0","S4P8_1_2,N,2,0","S4P8_1_ES,C,50","S4P9,N,1,0","S4P10,N,1,0","S4P10_1,N,3,0","S4P11_1,N,1,0","S4P11_2,N,1,0","S4P11_3,N,1,0","S4P11_4,N,1,0","S4P11_5,N,1,0","S4P11_6,N,1,0","S4P11_7,N,1,0","S4P11_8,N,1,0","S4P11_9,N,1,0","S4P11_10,N,1,0","S4P11_11,N,1,0","S4P11_12,N,1,0","S4P11_13,N,1,0","S4P11_14,N,1,0","S4P11_15,N,1,0","S4P11_16,N,1,0","S4P11_17,N,1,0","S4P11_ES,C,50","S4P12_1,N,1,0","S4P12_2,N,1,0","S4P12_3,N,1,0","S4P12_4,N,1,0","S4P12_5,N,1,0","S4P12_6,N,1,0","S4P12_7,N,1,0","S4P12_8,N,1,0","S4P12_9,N,1,0","S4P12_10,N,1,0","S4P12_1_1,N,1,0","S4P12_1_2,N,1,0","S4P12_1_3,N,1,0","S4P12_1_4,N,1,0","S4P12_1_5,N,1,0","S4P12_1_6,N,1,0","S4P12_1_7,N,1,0","S4P12_1_8,N,1,0","S4P12_1_9,N,1,0","S4P12_1_10,N,1,0","S4P12_1_ES,C,50","S4P12_2_1,N,1,0","S4P12_2_2,N,1,0","S4P12_2_3,N,1,0","S4P12_2_4,N,1,0","S4P12_2_5,N,1,0","S4P12_2_6,N,1,0","S4P12_2_7,N,1,0","S4P12_2_8,N,1,0","S4P12_2_ES,C,50","S4P13_1,N,1,0","S4P13_2,N,1,0","S4P13_3,N,1,0","S4P14_1,N,2,0","S4P14_2,N,2,0","S4P14_3,N,2,0","S4P14_4,N,2,0","S4P14_5,N,2,0","S4P14_6,N,2,0","S4P14_7,N,2,0","S4P14_8,N,2,0","S4P14_9,N,2,0","S4P14_10,N,2,0","S4P14_11,N,2,0","S4P14_12,N,2,0","S4P14_13,N,2,0","S4P14_14,N,2,0","S4P14_15,N,2,0","S4P14_16,N,2,0","S4P14_17,N,2,0","S4P15_1,N,1,0","S4P15_2,N,1,0","S4P15_3,N,1,0","S4P15_4,N,1,0","S4P15_5,N,1,0","S4P15_6,N,1,0","S4P15_7,N,1,0","S4P15_8,N,1,0","S4P15_9,N,1,0","S4P15_10,N,1,0","S4P15_11,N,1,0","S4P15_12,N,1,0","S4P15_13,N,1,0","S4P15_14,N,1,0","S4P15_15,N,1,0","S4P16_1,N,1,0","S4P16_2,N,1,0","S4P16_3,N,1,0","S4P16_4,N,1,0","S4P16_5,N,1,0","S4P16_6,N,1,0","S4P16_7,N,1,0","S4P17_1,N,1,0","S4P17_2,N,1,0","S4P17_3,N,1,0","S4P17_4,N,1,0","S4P17_5,N,1,0","S4P17_6,N,1,0","S4P17_7,N,1,0","S4P17_8,N,1,0","S4P17_9,N,1,0","S4P17_10,N,1,0","S4P17_11,N,1,0","S4P17_12,N,1,0","S4P17_13,N,1,0","S4P17_14,N,1,0","FAC,N,6,0"
26,1015,10,40175,4,1,02,3,3,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,COMPRA VENTA DE PRODUCTOS COSMETICOS,42,VENDEDORA DE PRODUCTOS COSMETICOS,PRODUCTOS ARABELA,46,FABRICECION YDISTRIBUCION DE PRODUCTOS COSMETICOS,3,4,3,3,3,3,4,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,1,1,2,1,2,4,3,3,3,2,4,3,2,5,3,4,1,6,0,0,0,10,0,0,10,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,2,0,0,,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,,2,2,2,1,2,2,2,2,,2,2,2,7,9,7,7,8,8,9,9,8,9,6,9,9,6,8,8,9,3,2,4,2,2,3,2,3,2,3,2,2,2,2,3,2,1,1,2,2,1,2,3,4,2,2,2,2,2,3,4,3,4,2,3,3,6172
26,1015,10,40175,3,1,02,4,3,,,0,0,0,0,0,0,0,0,1,,18,1,2,2,2,2,1,0,0,0,0,0,4,5,0,,0,,,0,,0,1,4,3,3,3,3,4,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,1,2,2,2,2,1,1,3,1,3,3,3,2,3,4,5,1,2,6,0,0,0,2,1,0,1,0,0,0,0,0,0,5,8,2,2,2,2,0,0,0,0,0,0,1,1,3,,1,1,6,2,1,2,1,1,1,2,1,1,2,1,2,1,2,1,2,2,,2,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,,3,3,3,1,5,9,9,9,9,10,10,5,10,10,10,5,1,3,10,10,3,4,4,2,2,2,2,3,4,4,4,4,3,2,3,2,2,2,3,2,1,1,2,1,2,1,1,1,2,1,1,2,2,1,2,2,6172
26,1015,10,40175,2,1,02,4,3,,,0,0,0,0,0,0,0,0,1,,18,2,0,0,0,0,0,1,2,1,2,2,1,0,1,VENDER TELAS AL PUBLICO EN MENUDEO,42,VENDEDER TELARES Y SUPERVISAR VENDEDORES,GRUPO PARICINA,46,COMPRA VENTA DE TELARES,2,4,4,3,3,2,2,2,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,1,2,1,2,2,4,4,4,2,3,3,4,2,4,6,1,3,5,0,0,0,6,1,0,5,0,0,0,0,0,0,2,4,0,2,2,0,0,0,0,0,0,0,2,0,0,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,2,,2,2,2,3,7,7,6,10,3,3,3,8,10,10,10,10,5,3,8,8,2,2,4,2,2,2,3,4,2,4,4,1,2,2,3,2,1,1,3,3,3,2,2,3,2,3,2,3,3,3,3,3,2,2,3,3,6172
26,1015,10,40175,1,1,02,4,3,,,0,0,0,0,0,0,0,0,1,,20,2,0,0,0,0,0,1,1,1,1,1,5,5,0,,0,,,0,,0,3,1,2,3,2,2,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,2,1,2,2,2,2,2,4,3,5,1,2,6,0,0,0,28,15,5,5,3,4,4,0,0,0,7,5,1,4,0,0,0,0,0,0,0,0,2,0,0,,1,1,35,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,,2,2,2,1,2,2,2,2,,1,1,1,5,7,7,8,8,2,8,9,6,9,9,9,10,10,2,10,9,3,3,4,4,2,2,3,2,3,4,4,2,2,2,2,3,1,1,2,3,1,1,2,3,1,1,1,1,1,1,4,4,4,1,1,1,6172
26,1015,10,40225,1,1,03,7,3,5511,DISE�O INDUSTRIAL,3,1,1,2,1,1,1,2,2,,21,2,0,0,0,0,0,2,2,1,2,2,5,5,0,,0,,,0,,0,4,3,3,4,3,3,2,4,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,4,3,3,4,3,4,3,6,3,4,1,2,5,0,0,0,10,2,0,4,4,2,1,0,1,0,0,0,0,0,0,0,2,10,3,3,2,2,1,1,4,,1,1,20,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,2,2,,2,2,1,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,,1,1,1,7,9,7,7,8,8,8,8,7,8,8,9,9,6,7,7,7,2,3,4,3,2,2,2,2,3,3,4,2,2,2,2,2,2,2,3,3,2,1,2,1,1,1,1,2,3,3,3,3,3,2,3,3,4464
26,1015,10,40225,4,1,02,7,4,5335,LICENCIATURA EN ADMINISTRACION DE EMPRESAS,3,1,1,1,1,1,2,2,1,,32,2,0,0,0,0,0,2,2,2,2,2,1,0,1,ADMINISTRATIVAS,42,EJECUTIVO DE CUENTA,RADIO MOVIL DIPSA,51,SERVICIOS DE TELECOMUNICACION,1,3,3,2,3,2,3,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,2,2,1,1,2,2,3,3,1,2,2,3,2,5,4,3,2,6,1,0,0,0,2,2,0,0,0,5,2,0,3,0,2,4,1,1,0,2,0,0,0,0,0,0,1,1,2,,1,1,50,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,2,,1,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,2,,1,2,1,5,8,5,8,1,9,10,9,3,9,9,10,10,2,1,10,10,4,4,4,2,2,2,2,2,4,4,4,2,2,2,3,2,2,2,2,3,2,2,2,1,2,3,2,2,2,2,2,3,3,2,2,2,2976
26,1015,10,40225,3,1,02,4,3,,,0,0,0,0,0,0,0,0,1,,21,2,0,0,0,0,0,2,2,2,1,2,8,5,0,,0,,,0,,0,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,6,5,3,1,2,4,0,0,0,20,14,0,6,0,14,7,0,6,1,7,7,0,7,0,0,4,10,5,3,2,0,2,0,0,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,,1,1,2,10,10,10,10,8,5,10,10,10,10,10,10,10,10,10,10,10,2,2,3,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2976
26,1015,10,40225,5,1,01,6,3,1800,CARRERA COMERCIAL,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,,0,,,0,,0,4,4,4,4,4,4,2,4,2,2,2,2,1,2,2,2,,2,2,2,1,1,2,2,2,,2,2,2,2,1,2,2,2,,0,0,0,0,0,0,0,4,4,4,4,3,4,4,1,5,4,6,2,3,0,0,0,21,10,0,6,5,7,0,0,7,0,0,0,0,0,0,0,5,5,0,0,5,0,2,0,0,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,2,1,tiene problemas con la columna,5,5,5,5,8,8,6,8,5,8,8,9,8,7,9,9,5,7,8,8,3,2,4,3,3,2,3,2,4,3,3,2,3,2,3,2,2,2,3,3,2,2,2,3,2,2,2,2,2,3,4,4,3,2,4,4,2976
26,1015,10,40231,3,1,01,7,4,5621,MEDICO VETERINARIO ZOTECNISTA,3,1,1,2,1,1,2,2,1,,25,2,0,0,0,0,0,2,2,1,1,2,1,0,4,CHECAR GANADO VACUNAS DESPARACITACIONES,22,MEDICO VETERINARIO POR SU CUENTA,SIN NOMBRE,54,AL CUIDADO Y MANEJO DEL GANADO BOVINO,2,2,1,2,3,2,3,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,1,1,2,2,1,1,3,2,3,2,2,2,2,5,3,4,1,2,6,0,0,0,7,7,0,0,0,7,7,0,0,0,7,20,0,15,5,0,0,0,0,0,0,0,1,1,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,,0,0,0,0,0,0,0,0,,1,1,1,5,10,3,10,3,1,9,9,10,9,6,10,10,1,10,10,10,3,3,1,3,2,2,2,4,1,2,2,1,1,2,2,2,2,2,3,3,2,2,2,2,1,1,1,1,1,2,3,2,1,2,2,2,8980
26,1015,10,40231,1,1,03,7,5,5517,INGENIERIA EN SISTEMAS COMPUTACIONALES,3,1,1,2,1,1,2,1,1,,23,2,0,0,0,0,0,1,1,1,2,1,1,0,1,ANALISIS ADMINISTRATIVO Y LOGISTICA,25,ADMINISTRATIVO DE VENTAS,GRUPO LALA S A DE CV,43,COMERCIALIZADORA DE LACTEOS,2,1,2,2,3,3,3,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,1,1,1,1,1,2,3,1,6,4,2,1,5,3,0,0,0,15,5,6,4,0,12,0,0,12,0,3,10,5,2,3,0,2,20,5,10,5,0,1,1,2,,1,1,60,2,2,2,2,2,1,1,1,1,1,2,1,1,2,1,2,2,,1,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,,1,1,1,8,9,6,7,5,5,8,7,9,8,3,10,10,5,5,10,10,2,3,3,3,2,2,2,2,3,3,3,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,3,2,1,2,1,3,1,1,5388
26,1015,10,40231,2,1,01,7,4,5517,INGENIERIA EN SISTEMAS,3,1,1,1,1,1,2,1,1,,25,2,0,0,0,0,0,1,1,1,2,1,1,0,1,"TRATAR AL CLIENTE, COMPRA VENTA DE INMOBILIARIA",42,ASESOR INMOBILIARIO,ROKA INMOBILIARIA,53,BIENES INMUEBLES,2,3,4,2,2,3,4,2,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,1,3,3,2,3,3,4,2,4,5,6,1,2,3,0,0,0,7,7,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,1,1,42,2,2,2,2,2,2,1,1,2,1,2,2,1,2,1,2,2,,2,1,2,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,,1,1,1,8,9,9,9,10,8,9,9,10,9,10,10,10,8,8,9,9,2,2,3,2,2,2,2,3,3,3,4,2,2,2,2,1,1,1,2,2,2,2,3,1,1,2,1,1,1,1,1,1,2,2,2,2,3592
26,1015,10,40231,5,1,02,7,5,5532,INGENIERIA CIVIL,3,1,2,2,2,2,2,1,1,,25,2,0,0,0,0,0,2,2,2,2,1,1,0,1,ADMINISTRACION GENERAL DE OBRA DE CONSTRUCCION,16,RESIDENTE GENERAL,CARLOS JAVIER RAMOS CONSTRUCTORA,23,"OBRAS HIDRAULICAS, CAMINOS Y EDIFICACION",2,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,2,2,2,1,1,2,2,2,2,2,2,2,5,2,4,1,3,6,0,0,0,7,3,1,3,0,7,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,1,1,25,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,,2,1,2,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,,0,0,0,0,0,0,0,0,,1,1,1,5,6,4,6,2,1,7,7,5,7,7,9,9,5,6,8,8,3,4,4,3,2,2,3,3,3,3,4,3,3,3,3,2,2,2,3,3,2,2,1,1,1,1,1,1,2,2,3,2,1,1,2,3,3592
26,1015,10,40231,4,1,01,7,4,5213,DISE�O GRAFICO,3,2,2,2,2,2,2,2,2,,31,2,0,0,0,0,0,1,1,1,2,1,1,0,1,IMPARTIR EDUCACION DE TELESECUNDARIA A JOVENES,23,MAESTRO FRENTE A GRUPO,SISTEMA ESTATAL DE TELESECUNDARIA,61,IMPARTIR EDUCACION DE CALIDAD A NIVEL SECUNDARIA,2,4,4,4,4,4,4,3,4,1,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,2,3,2,2,2,3,3,5,4,6,3,2,1,0,0,0,3,0,1,2,0,0,0,0,0,0,2,3,0,0,3,0,0,0,0,0,0,0,1,1,2,,1,1,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2,2,,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,2,,2,1,1,5,10,8,8,7,8,9,9,8,7,7,9,7,1,5,8,9,2,2,4,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,3,3,3,3,2,2,2,2,1796
26,1015,10,40234,5,1,01,7,5,5335,INGENIERO MECANICO ADMINISTRADOR,3,1,1,2,1,1,2,1,2,,25,2,0,0,0,0,0,2,2,2,2,1,1,0,4,ADMINISTRAR NEGOCIO DE QUIMICOS PARA LA AGRUCULTUR,14,DUE�O DE EMPRESA DE AGROQUIMICOS,AGROOLIVAS,43,COMPRA VENTA DE MERCANCIA DE AGROQUIMICOS,2,2,2,2,3,3,4,3,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,2,2,2,1,1,2,3,3,3,3,4,2,1,3,2,5,6,4,0,0,0,21,8,2,11,0,6,6,0,0,0,3,10,1,8,1,0,0,0,0,0,0,0,1,1,2,,1,1,14,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,,2,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,1,1,1,4,7,2,6,6,5,8,8,9,7,4,10,10,5,9,10,10,3,3,4,3,1,1,2,2,3,3,4,2,2,2,2,1,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2838
26,1015,10,40234,1,1,01,3,3,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,SURTIR MATERIAL DE ARNESES PARA VEHICULOS,92,OPERADOR,MAQUILADORA DELPHI,33,CONSTRUCCION DE ENLACES PARA VEHICULOS CHEVROLET,3,2,3,2,3,3,3,2,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,2,2,1,2,2,2,2,4,4,3,2,3,3,6,5,3,2,1,4,0,0,0,21,5,5,11,0,0,0,0,0,0,1,20,5,10,5,0,1,15,10,5,0,0,1,4,0,,1,1,21,2,2,2,2,2,1,2,1,2,1,2,2,1,2,1,2,2,,1,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,2,,1,2,2,5,7,6,7,8,8,8,7,8,9,9,9,8,2,6,7,7,2,2,3,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,3,3,1,2,2,1,2,2,2,2,2,4,2,2,4,2,2,2,2838
26,1015,10,40234,2,1,01,3,3,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,DESORIYADOR DE TRIPLAY,73,OPERADOR DE SIERRAS DOBLES,PONDERPLAY DE MEXICO,32,VENTA DE TRIPLAY,3,3,3,2,4,3,3,3,3,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,,2,1,2,2,2,2,1,3,3,3,3,3,2,3,6,4,3,1,5,2,0,0,0,7,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,2,,1,1,1,7,9,5,10,8,9,10,9,9,10,7,10,8,7,10,9,9,2,2,3,2,2,2,3,3,2,2,4,2,2,2,2,2,2,1,3,2,2,2,3,3,2,3,3,1,2,2,2,2,2,2,3,3,2838
26,1015,10,40234,3,1,01,6,3,2334,AUXILIAR CONTABLE,2,0,0,0,0,0,0,0,2,,16,2,0,0,0,0,0,1,1,2,2,2,1,0,1,LIMPIEZA EN EL AEROPUERTO,96,INTENDENTE,CLI,56,OFRECER SERVICIOS DE LIMPIEZA,2,4,4,4,4,4,4,4,4,1,2,2,2,2,2,1,2,,1,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,4,4,4,4,4,4,4,5,6,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,1,1,14,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,,1,2,2,2,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,1,1,1,5,10,5,9,9,5,7,7,9,7,5,5,6,5,5,9,10,4,4,4,4,2,4,2,3,3,4,4,2,3,2,2,2,2,2,3,1,5,5,2,3,3,3,3,3,3,3,3,3,3,3,3,4,1419
26,1015,10,40263,1,1,02,7,2,5341,LICENCIATURA EN DERECHO,3,1,1,1,1,1,2,2,2,,22,1,2,2,2,2,2,0,0,0,0,0,1,0,1,ATENCION A CLIENTES EN UN RESTAURANTE,51,EMPLEADO DE RESTAURANTE,RESTAURANTE LOS CHINELOS,72,PREPARACION Y VENTA DE ALIMENTOS,2,1,4,3,3,1,1,3,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,2,2,1,1,2,2,1,4,2,2,3,2,1,3,6,4,1,2,5,0,0,0,8,4,1,3,0,2,0,2,0,0,2,4,0,4,0,0,3,5,0,5,0,0,2,0,0,,1,1,35,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,,2,1,2,2,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,1,1,1,1,3,1,10,7,5,8,10,4,10,10,10,6,1,9,10,10,4,3,2,2,2,2,2,2,4,3,2,2,1,2,3,1,1,2,2,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1,1,3362
26,1015,10,40263,4,1,01,7,5,5335,LICENCIADA EN ADMINISTRACION DE EMPRESAS,3,1,1,2,2,2,2,2,1,,24,2,0,0,0,0,0,1,2,2,2,2,1,0,4,COMPRA VENTA DE PRODUCTOS PARA EL HOGAR,41,VENDEDORA INDEPENDIENTE DE PRODUCTOS PARA EL HOGAR,VENDEDORA INDEPENDIENTE,46,COMPRA VENTA DE PRODUCTOS PARA EL HOGAR,2,3,4,3,4,4,3,3,3,0,0,0,0,0,0,0,0,,2,2,2,2,1,2,2,2,,2,2,2,2,1,2,2,2,,1,1,1,1,1,1,1,4,4,3,2,2,2,2,5,4,3,1,2,6,0,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,1,1,0,,1,1,7,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,2,2,,2,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,,1,2,2,2,2,2,2,2,,1,1,1,1,8,8,7,9,8,8,8,8,9,9,10,9,1,2,9,10,3,3,4,4,2,2,2,3,4,4,4,2,2,2,2,4,4,3,3,3,4,4,2,2,2,2,2,2,2,2,2,4,2,1,1,1,1681
26,1015,10,40263,2,1,01,7,3,5341,LICENCIADO EN DERECHO,3,2,2,2,2,1,2,2,1,,22,2,0,0,0,0,0,2,2,2,2,2,1,0,5,COMPRA VENTA DE MATERIALES PARA CONSTRUCCION,41,PROPIETARIO DE NEGOCIO,MATERIALES PARA CONSTRUCCION SIN NOMBRE,43,COMPRA VENTA DE MATERIALES PARA CONSTRUCCION,2,1,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,2,1,2,1,2,2,2,2,2,4,2,2,2,6,5,1,2,4,3,0,0,0,3,2,0,1,0,2,2,0,0,0,2,4,0,3,1,0,0,0,0,0,0,0,1,1,2,,1,1,10,2,1,2,1,2,1,1,1,1,2,2,1,1,1,1,2,2,,1,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,,0,0,0,0,0,0,0,0,,1,1,1,9,10,7,9,6,9,9,9,10,10,10,10,10,6,7,8,10,5,5,5,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3362
