"RESENT,C,2","EDAD,C,3","SEXO,C,1","TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","NUMREN,C,2","NIVELINS,C,2","NIVELANI,C,2","ANTECE,C,1","NOMCARR,C,80","TIPOESC,C,1","BIOLOGIA,C,1","FISICA,C,1","QUIMICA,C,1","MATEMA,C,1","ACTUALES,C,1","CIENTIF1,C,1","INGEN1,C,1","CIENTIF2,C,1","INGEN2,C,1","CONDACT,C,1","VERIACT,C,1","POSACT,C,1","TAREASYF,C,50","OCUPACION,C,2","NOMBREMP,C,50","ACTIECO,C,2","ACTICIEN,C,1","FACPER,N,10,0"
01,025,1,5,03,003,0001,1926,030109,04,111111,04,04,03,2,PREPARATORIA,1,,,,,2,,,1,2,1,,1,ADMINISTRACION DE UNA GASOLINERA,62,IDRO FUEL,46,2,3606
01,060,1,5,03,003,0001,1926,030109,05,111111,01,02,06,,,,,,,,,,,,,6,5,,,,,,,3606
01,047,2,5,03,003,0001,2267,030117,01,111111,01,09,03,5,ZOOTECNIA,1,1,2,1,1,2,,,2,2,1,,1,INVESTIGACION CIENTIFICA Y DOCENCIA,13,CENTRO DE INVESTIGACION DE CIENCIAS DEL MAR,61,1,1103
01,018,1,5,03,003,0001,2267,030117,02,111111,01,03,03,,,,,,,,,,,,,8,5,,,,,,,990
01,067,2,5,03,003,0001,2267,030117,03,111111,01,06,03,3,ADMINISTRACION,2,2,2,2,1,2,,,1,2,6,5,,,,,,,1103
01,023,2,5,03,003,0001,2267,030117,04,111111,03,07,02,3,DISE�O GRAFICO,2,2,2,2,2,1,2,1,,,4,3,6,,,,,,1103
01,028,2,5,03,003,0001,2267,030117,05,111111,02,08,02,4,BIOTECNOLOGIA MARINA,1,1,1,1,1,1,1,2,,,4,5,,,,,,,1103
01,023,2,5,03,003,0001,3388,030118,01,111111,02,04,03,2,BACHILLERATO EN TURISMO,1,,,,,2,,,2,1,1,,1,EMPLEADA DOMESTICA CASA PARTICULAR,82,TRABAJADORA DOMESTICA,81,2,969
01,045,1,5,03,003,0001,3388,030118,02,111111,02,02,04,,,,,,,,,,,,,1,,5,ELABORACION DE REPOSTERIA,52,PANADERIA GUADALUPE,31,2,3977
01,022,2,5,03,003,0001,3388,030118,03,111111,01,07,01,3,LICENCIATURA EN CULTURA FISICA,1,2,2,2,2,1,2,2,,,4,5,,,,,,,969
01,019,2,5,03,003,0001,3388,030118,04,111111,05,04,03,2,BACHILLERATO,1,,,,,2,,,2,2,1,,4,VENTA DE ROPA Y CALZADO POR CATALOGO,72,SIN NOMBRE,46,2,969
01,038,2,5,03,003,0001,3388,030118,05,111111,02,02,06,,,,,,,,,,,,,5,5,,,,,,,969
01,046,2,5,03,003,0001,1930,030123,01,111111,02,00,00,,,,,,,,,,,,,5,5,,,,,,,989
01,079,2,5,03,003,0001,1930,030123,02,111111,02,02,05,,,,,,,,,,,,,5,5,,,,,,,989
01,031,2,5,03,003,0001,1930,030123,03,111111,03,04,03,2,bachillerato,1,,,,,2,,,2,2,1,,1,venta de ropa  calzado atender a las personas,71,sonia,46,2,989
01,057,2,5,03,003,0001,1930,030123,04,111111,02,02,03,,,,,,,,,,,,,5,5,,,,,,,989
01,071,2,5,03,003,0001,1930,030123,05,111111,01,02,06,,,,,,,,,,,,,5,5,,,,,,,989
01,025,2,5,03,003,0001,3462,030138,01,111111,02,03,03,,,,,,,,,,,,,5,5,,,,,,,950
01,022,2,5,03,003,0001,3462,030138,02,111111,03,07,04,3,ingenieria en sistemas computacionales,1,2,1,1,1,1,1,1,,,1,,1,mantenimiento de equipo de computo y programacion,11,kerner systems,46,2,950
01,037,1,5,03,003,0001,3462,030138,03,111111,01,07,04,3,contador publico,1,1,1,1,1,2,,,2,1,1,,1,venta de medicamentos farmaceuticos,71,servi expres,43,2,3902
01,035,2,5,03,003,0001,3462,030138,04,111111,02,03,03,,,,,,,,,,,,,1,,6,,,,,,950
01,019,2,5,03,003,0001,3462,030138,05,111111,03,06,03,2,secretaria,2,,,,,2,,,2,2,1,,1,escribir a maquina tomar dictado hacer reportes,62,FERRETERIA EL CLAVO,46,2,950
01,039,1,5,03,003,0001,2962,030169,01,111111,01,07,05,3,LICENCIADO EN ECONOMIA,1,2,2,2,1,2,,,2,1,1,,5,MANTENIMIENTO EN CASAS Y EDIFICIOS,21,PROTECTO PAINT,23,2,2152
01,054,1,5,03,003,0001,2962,030169,03,111111,01,02,06,,,,,,,,,,,,,1,,4,PESCADOR DE BUCEO LIBRE PESCA CALLO DE HACHA,41,SOCIEDAD COOPERATIVA PESQUERA,11,2,2152
01,019,1,5,03,003,0001,2962,030169,05,111111,03,04,03,2,PREPARATORIA,2,,,,,1,2,1,,,4,5,,,,,,,2152
01,064,1,5,03,003,0001,2943,030173,01,111111,01,07,03,3,INGENIERO AGRONOMO,2,2,2,2,2,2,,,2,1,6,5,,,,,,,1207
01,053,1,5,03,003,0001,2943,030173,02,111111,01,03,03,,,,,,,,,,,,,1,,1,SURTIR ALIMENTOS AL RESTAURANTE LICOR CERVEZA,62,HOTEL LOS ARCOS,72,2,1207
01,033,2,5,03,003,0001,2943,030173,03,111111,01,06,03,3,AUXILIAR DE ENFERMERAIA,2,,,,,2,,,2,1,8,1,4,HECHURA Y CONFECCION DE ROPA,52,SIN NOMBRE,31,2,1345
01,031,1,5,03,003,0001,2943,030173,04,111111,01,03,01,,,,,,,,,,,,,1,,1,OPERARDOR DE MAQUINARIA PESADA,55,ABARROTERA SAHUAYO,46,2,1207
01,023,2,5,03,003,0001,3049,030251,01,111111,05,06,03,2,SECRETARIA EJECUTIVA,2,,,,,2,,,2,2,1,,1,AUXILIAR DE CONFERENCISTA TOMAR DATOS CAPTURAR,62,EDICIONES SAIPA,46,2,972
01,072,2,5,03,003,0001,3049,030251,02,111111,02,02,04,,,,,,,,,,,,,5,5,,,,,,,972
01,021,2,5,03,003,0001,3049,030251,03,111111,03,03,03,,,,,,,,,,,,,1,,1,HACER COLLARES A MANO ARTESANIAS ATIENDE CLIENTES,52,SIN NOMBRE,33,2,972
01,036,2,5,03,003,0001,3049,030251,04,111111,02,02,04,,,,,,,,,,,,,5,5,,,,,,,972
01,044,2,5,03,003,0001,3049,030251,05,111111,02,02,06,,,,,,,,,,,,,5,5,,,,,,,972
01,019,1,5,03,003,0001,3091,030272,01,111111,03,07,01,3,INGENIERIA CIVIL,1,2,1,2,1,1,2,1,,,4,5,,,,,,,1177
01,046,1,5,03,003,0001,3091,030272,02,111111,01,06,03,2,TECNICO AGRICOLA,1,,,,,2,,,2,1,1,,1,PROMOTOR DE CREDITO BANCARIO,12,BANCO NACIONAL DE MEXICO,52,2,1177
01,062,1,5,03,003,0001,3091,030272,03,111111,01,02,06,,,,,,,,,,,,,8,5,,,,,,,1177
01,022,1,5,03,003,0001,3091,030272,04,111111,02,04,02,2,BACHILLERATO,2,,,,,1,1,2,,,4,3,1,ELABORA ESENCIAS NMATURALES Y JABONES MANUAL Y MAQ,53,E. N.   ESENCIAS NATURALES,32,2,1177
01,045,1,5,03,003,0001,3091,030272,05,111111,01,06,03,2,CONTADOR PRIVADO,2,,,,,2,,,2,1,1,,4,TRANSPORTE DE ALQUILER,55,SITIO UNION UNICA A.C,48,2,1177
01,025,2,5,03,003,0001,3335,030329,01,111111,01,07,04,3,LICENCIADO EN DERECHO,1,2,2,2,1,2,,,1,2,1,,1,CAPTURAR DATOS CONTESTA EL TELEFONO RECEPCIONISTA,62,PRI   OFICINA,81,2,1297
01,028,2,5,03,003,0001,3335,030329,03,111111,02,03,03,,,,,,,,,,,,,5,5,,,,,,,1297
01,047,1,5,03,003,0001,3335,030329,04,111111,02,04,03,2,BACHILLERATO,1,,,,,2,,,2,2,1,,1,INVESTIGACION JUDICIAL,83,PROCURADURIA DE JUSTICIA,93,2,1164
01,018,1,5,03,003,0001,3335,030329,05,111111,04,04,03,2,PREPARATORIA,1,,,,,1,2,1,,,4,5,,,,,,,1164
01,041,1,5,28,009,0001,0067,280501,01,111111,01,04,02,2,PREPARATORIA,1,,,,,2,,,2,1,1,,4,ADMINISTRA UN NEGOCIO DE RESTAURANTE,81,RESTAURANTE MIRAMAR,72,2,18531
01,039,1,5,28,009,0001,0067,280501,02,111111,01,02,04,,,,,,,,,,,,,1,,4,PESCA EN EL MALECON Y VENDE A LAS PESCADERIAS,41,SIN NOMBRE,11,2,18531
01,042,1,5,28,009,0001,0067,280501,03,111111,06,04,03,2,PREPARATORIA,2,,,,,2,,,2,1,1,,4,PESCADOR EN LANCHA,41,SIN NOMBRE,11,2,18531
02,043,2,5,28,009,0001,0067,280501,04,111111,02,02,06,,,,,,,,,,,,,5,5,,,,,,,0
01,042,2,5,28,009,0001,0067,280501,05,111111,02,04,03,2,CONTROL DE LA CONTAMINACION ACUATICA,1,,,,,2,,,1,2,1,,4,HACE MANUALIDADES CON FIELTRO Y LAS VENDE,52,SIN NOMBRE,31,2,27796
01,029,1,5,28,038,0001,1137,280505,01,111111,02,03,03,,,,,,,,,,,,,1,,4,PASCADOR EN BOTE Y VENTA,41,SIN NOMBRE,11,2,12202
01,025,2,5,28,038,0001,1137,280505,02,111111,01,03,03,,,,,,,,,,,,,1,,1,DESPICA Y ENBOLSA CAMARON TRAIDO DEL MAR,52,PESCADERIA BOCA DEL RIO,31,2,36606
01,020,1,5,28,038,0001,1137,280505,03,111111,03,02,06,,,,,,,,,,,,,1,,1,VENDER COBRAR PESAR CEBOLLAS,71,CEBOLLAS TORRES,46,2,12202
01,020,1,5,28,038,0001,1137,280505,04,111111,04,07,03,3,INGENIERIA EN ELECTRONICA,1,2,1,1,1,1,1,1,,,4,5,,,,,,,12202
01,025,1,5,28,038,0001,1137,280505,05,111111,01,03,03,,,,,,,,,,,,,1,,1,MANTENIMIENTO AL MEDICAMENTO MANUALMENTE,81,FARMACIAS SIMILARES,46,3,12202
01,052,1,5,28,003,0122,124A,280507,01,111111,01,02,06,,,,,,,,,,,,,1,,1,CARGA GRAVA ARENA LLEVA A DIFERENTES CIUDADES,55,CONSTRUCTORA TREBOL,23,2,30785
01,049,2,5,28,003,0122,124A,280507,02,111111,02,06,03,1,,,,,,,,,,,,5,5,,,,,,,10262
01,040,2,5,28,003,0122,124A,280507,04,111111,02,02,06,,,,,,,,,,,,,5,5,,,,,,,10262
01,045,2,5,28,003,0122,124A,280507,05,111111,01,02,02,,,,,,,,,,,,,5,2,4,LAVA PLANCHA Y ASEA ROPA AJENA EN LAS CASAS,82,SIN NOMBRE,81,2,10262
01,035,1,5,28,038,0001,0425,280511,01,111111,01,04,02,2,CIENCIAS ECONOMICAS ADMINISTRATIVAS,2,,,,,2,,,2,1,1,,1,DESCARGAR LA MERCANCIA DE BARCOS LLEVA CONTROL,62,JESUS BELLO AGUILAR  (DUE�O),46,2,15990
01,032,1,5,28,038,0001,0425,280511,02,111111,01,02,06,,,,,,,,,,,,,1,,1,EMPACA DESCABEZA Y LIMPIA CAMARON CON LAS MANOS,52,CONGELADORA MARQUEZ,31,2,15990
01,064,1,5,28,038,0001,0425,280511,03,111111,01,02,06,,,,,,,,,,,,,1,,1,LIMPIEZA DE CAMARON MANUALMENTE,52,FEDERICO,31,2,15990
01,018,2,5,28,038,0001,0425,280511,04,111111,05,04,02,2,TECNICA EN INFORMATICA,1,,,,,1,9,9,,,4,2,1,MUESTRA LAS PELICULAS DE RENTA Y VENTA,81,VIDEO CLUB ACUARIO,53,2,20559
01,053,2,5,28,038,0001,0425,280511,05,111111,04,02,04,,,,,,,,,,,,,5,5,,,,,,,20559
01,064,1,5,28,038,0001,0196,280536,01,111111,01,03,01,,,,,,,,,,,,,7,,,,,,,,11528
01,056,1,5,28,038,0001,0196,280536,02,111111,01,02,06,,,,,,,,,,,,,7,,,,,,,,11528
01,032,2,5,28,038,0001,0196,280536,05,111111,02,07,05,3,CONTADOR PUBLICO,1,2,2,2,2,2,,,2,1,8,5,,,,,,,46112
01,054,2,5,28,038,0001,1211,280548,01,111111,02,02,06,,,,,,,,,,,,,1,,1,ACOMODA LA TORTILLA QUE SALE DE LA MAQUINA,54,TORTILLERIA EL OLIMPO,31,2,14034
01,029,2,5,28,038,0001,1211,280548,02,111111,01,07,05,3,CONTADOR PUBLICO AUDITOR,1,2,2,2,1,1,2,2,,,1,,1,DA CLASES A UN GRUPO DE NI�OS DE SEGUNDO A�O,13,ESC FRANCISCO J. MUJICA,61,2,14034
01,039,1,5,28,038,0001,1211,280548,03,111111,01,03,02,,,,,,,,,,,,,5,5,,,,,,,42102
01,019,2,5,28,038,0001,1211,280548,04,111111,04,07,01,3,INGENIERO INDUSTRIAL1211112145,1,2,1,1,1,1,2,1,,,4,5,,,,,,,14034
01,031,2,5,28,038,0001,1211,280548,05,111111,01,06,02,2,TECNICO EN COMPUTACION,1,,,,,2,,,2,1,1,,1,ATENDER AL CLIENTE ACOMODAR LA ROPA VENTA,71,SEARS,46,3,14034
01,034,2,5,28,009,0001,1046,280567,01,111111,02,04,03,2,PREPARATORIA,1,,,,,2,,,1,2,5,4,6,,,,,,27848
01,033,1,5,28,009,0001,1046,280567,02,111111,01,07,02,3,ARQUITECTURA,1,1,1,1,1,2,,,2,1,1,,1,MANEJA UN CAMION EN ALMACEN IBARRA ABARROTES,55,ALMACENES IBARRA,46,2,27848
01,020,2,5,28,009,0001,1046,280567,04,111111,02,07,04,3,LICENCIADO EN PSICOLOGIA,1,1,2,2,1,1,2,2,,,4,5,,,,,,,27848
01,057,2,5,28,038,0001,0849,280568,02,111111,01,02,03,,,,,,,,,,,,,5,5,,,,,,,11440
01,026,1,5,28,038,0001,0849,280568,03,111111,03,03,03,,,,,,,,,,,,,3,5,,,,,,,20592
01,024,2,5,28,038,0001,0849,280568,04,111111,01,03,03,,,,,,,,,,,,,1,,1,LAVA Y PREPARA ALIMENTOS PARA COCINARLOS,54,TACOS MILICOS,72,2,11440
01,031,2,5,28,038,0001,0849,280568,05,111111,02,03,03,,,,,,,,,,,,,5,5,,,,,,,11440
01,052,2,5,28,038,0001,0482,280577,01,111111,02,02,06,,,,,,,,,,,,,5,5,,,,,,,9607
01,025,2,5,28,038,0001,0482,280577,02,111111,02,04,02,2,TECNICO EN COMPUTACION,1,,,,,2,,,2,1,1,,1,ATIENDE AL CLIENTE LLENANNDO FORMATOS,71,CENTRO DE NOVEDADES CHAPA SA DE CV,46,2,9607
01,026,1,5,28,038,0001,0482,280577,03,111111,01,07,05,3,INGENIERO EN ELECTRONICA,1,2,1,2,1,2,,,1,1,1,,1,SUPERVISA EL MATERIAL ELECTRICO QUE SE VENDE,21,CONTROL FOX,43,2,14410
01,028,2,5,28,038,0001,0482,280577,04,111111,02,03,03,,,,,,,,,,,,,1,,5,PREPARAR ALIMENTOS PARA LA COMIDA,81,GORDITAS EL PASO,72,2,9607
01,037,1,5,28,038,0001,0482,280577,05,111111,01,03,01,,,,,,,,,,,,,1,,1,HACE Y CORTA EL HIELO Y REPARTE A NEGOCIOS,71,PRODUCTORA DE HIELO LA LIBERTAD,31,2,14410
01,062,1,5,28,009,0001,0936,280598,01,111111,01,02,06,,,,,,,,,,,,,6,5,,,,,,,24843
01,019,1,5,28,009,0001,0936,280598,02,111111,04,04,03,2,PREPARATORIA,1,,,,,2,,,1,2,5,5,,,,,,,24843
01,033,2,5,28,009,0001,0936,280598,03,111111,02,03,02,,,,,,,,,,,,,5,5,,,,,,,11830
01,036,2,5,28,009,0001,0936,280598,04,111111,01,03,02,,,,,,,,,,,,,5,5,,,,,,,11830
01,018,2,5,28,009,0001,0936,280598,05,111111,02,02,03,,,,,,,,,,,,,5,5,,,,,,,11830
01,042,1,5,28,009,0001,0724,280611,01,111111,01,07,06,3,MEDICINA,1,1,1,1,1,2,,,2,2,1,,1,CIRUJANO ORTEPEDISTA CONSULTAS CIRUGIAS,11,IMSS Y PEMEX,62,1,17018
01,073,1,5,28,009,0001,0724,280611,02,111111,01,00,00,,,,,,,,,,,,,1,,4,MECANICO DE CARROS EN SU TALLER,52,SIN NOMBRE,81,2,17018
01,040,2,5,28,009,0001,0724,280611,03,111111,02,03,01,,,,,,,,,,,,,1,,4,COMPRA VENTA DE ABARROTES EN SU TIENDE,71,MISCELANEA DOS HERMANOS,46,2,29782
01,061,1,5,28,009,0001,0724,280611,04,111111,01,02,06,,,,,,,,,,,,,1,,1,OPERARDOR DE MICROBUS,55,EMPRESA PRIVADA DE MICROBUS,48,2,17018
01,059,2,5,28,009,0001,0724,280611,05,111111,02,06,03,2,EWNFERMERIA,1,1,2,2,2,2,,,1,2,6,5,,,,,,,29782
01,055,2,5,28,009,0001,0531,280645,01,111111,02,08,02,4,MAESTRIA EN METODOLIA EN ENSE�ANZA,2,1,1,1,1,2,,,1,1,1,,1,DA CLASES EN UNA SECUNDARI NUMERO UNO,13,SECUNDARIA MELCHOR OCAMPO,61,2,15679
01,054,1,5,28,009,0001,0531,280645,02,111111,01,07,06,4,ADMNINISTRADOR DE EMPRESAS,1,2,2,2,1,2,,,2,2,1,,1,ASESORIA EN LA MATERIA DE CREDITO Y AHORRO,12,SOCIEDAD COOPERATIVA EL PARAISO,52,2,10838
01,044,2,5,28,009,0001,0531,280645,03,111111,02,02,06,,,,,,,,,,,,,5,5,,,,,,,15679
01,054,2,5,28,009,0001,0531,280645,04,111111,03,03,03,,,,,,,,,,,,,5,5,,,,,,,15679
01,046,2,5,28,009,0001,0531,280645,05,111111,02,06,02,1,,,,,,,,,,,,5,5,,,,,,,15679
01,053,2,5,28,038,0001,0355,280648,01,111111,01,02,06,,,,,,,,,,,,,6,5,,,,,,,8840
01,064,2,5,28,038,0001,0355,280648,02,111111,02,02,05,,,,,,,,,,,,,5,5,,,,,,,8840
01,039,1,5,28,038,0001,0355,280648,03,111111,03,03,03,,,,,,,,,,,,,1,,4,VENTA DE TORTAS EN SU CASA,81,TORTAS MARCOS,72,2,29465
01,060,2,5,28,038,0001,0355,280648,04,111111,02,02,06,,,,,,,,,,,,,5,5,,,,,,,8840
01,030,2,5,28,038,0001,0355,280648,05,111111,02,03,03,,,,,,,,,,,,,2,,6,,,,,,8840
01,056,1,5,28,038,0001,1071,280674,01,111111,01,08,02,4,INGENIERO AGRONOMO,1,1,1,1,1,2,,,2,1,1,,4,PLANEACION  DE OPERACIONES DISE�A SUPERVISA,21,RANCHO LIMON,11,1,13574
