"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,1","DEGVIV,C,1","NUMREN,C,2","NIVELINS,C,2","APOBO,C,2","CODCARR,C,3","ESPE,C,50","ANTESCO,C,1","BIOLOGIA,C,1","FISICA,C,1","QUIMICA,C,1","MATEMA,C,1","TIPOESC,C,1","EDADULG,C,2","ACTESTUDI,C,1","CIENTIF1,C,1","INGEN1,C,1","CIENTIF2,C,1","INGEN2,C,1","CONDACT,C,1","VERIDACT,C,1","POSDOCU,C,1","TAROFUN,C,70","OCUPACION,C,2","ESPECI,C,60","NODUNIECO,C,60","ACTIECO,C,2","ESPECIF,C,60","ACTICIEN,C,1","LLAVE,C,23"
4,01,001,0001,0500,010293,03,1,1,01,04, 3,,,,,,,,2,18,2,,,1,2,1,,1,"INVESTIGAR DELITOS, ACLARACION DE LOS MISMOS",83,AGENTE INVESTIGADOR,PROCURADURIA GENERAL DE JUSTICIA,93,"RECIBIMIENTOS DE DENUNCIAS, INVESTIGAR Y DAR SOLUCION A LAS",1,01001000105000102930311
4,01,001,0001,0500,010293,04,1,1,02,02, 6,,,,,,,,,,,,,,,5,5,,,,,,,,,01001000105000102930411
4,01,001,0001,0500,010293,05,1,1,02,03, 3,,,,,,,,,,,,,,,1,,4,ELABORA Y PREPARA GUISADOS PARA HACER BURRITOS Y JUGOS NATURALES,52,DUEÑA DE LONCHERIA,LONCHERIA Y JUGOS LA PERLA,72,PREPARA Y VENDE ALIMENTOS Y JUGOS EN UN LOCAL AL MENUDEO,2,01001000105000102930511
4,01,001,0001,0604,010013,01,1,1,01,02, 4,,,,,,,,,,,,,,,1,,1,MANEJA UN CAMION DE TRASLADO DE TOROS DE LIDIA,55,CHOFER,DR. ALEJANDRO LOPEZ,62,MEDICO PEDIATRA,2,01001000106040100130111
4,01,001,0001,0604,010013,03,1,1,02,02, 4,,,,,,,,,,,,,,,5,5,,,,,,,,,01001000106040100130311
4,01,001,0001,0604,010013,04,1,1,01,06, 1,186,SECRETARIADO,2,,,,,2,17,2,,,2,2,1,,1,"CORTE DE PELO, TINTE, MANICURE",81,ESTILISTA,ESTETICA NORMA,81,"CORTES DE CABELLO, TINTES, ETC EN UN LOCAL",2,01001000106040100130411
4,01,001,0001,0604,010013,05,1,1,03,06, 3,052,CONTADOR PRIVADO,1,,,,,,,,,,,,1,,2,INSPECCIONA ROPA PARA NIÑOS EN UNA FABRICA,51,ACABADORA DE INSPECCION,CONFECCIONES GONTEX,31,"DISEÑA, FABRICA Y VENDE ROPA DE NIÑOS EN FABRICA Y TIENDAS",1,01001000106040100130511
4,01,001,0001,1299,010122,01,1,1,02,07, 6,311,ARQUITECTURA,3,2,1,2,1,1,25,2,,,2,2,5,5,,,,,,,,,01001000112990101220111
4,01,001,0001,1299,010122,02,1,1,01,07, 5,413,ING. EN SISTEMAS COMPUTACIONALES,3,2,1,2,1,1,22,2,,,1,1,1,,1,PLANEACION Y CONTROL DE PRODUCCION DE VIVIENDAS,21,GERENTE DE CONTROL DE PRODUCCION,VIVENDUM DE MEXICO,23,"DESARROLLO, CONSTRUCCION Y VENTA DE VIVIENDAS",2,01001000112990101220211
4,01,001,0001,1299,010122,03,1,1,01,07, 5,392,LIC. ADMINISTRACION Y EMPRESAS,3,2,2,2,1,2,23,2,,,1,1,1,,5,COMPRA Y VENDE HORTALIZAS Y VEGETALES,21,DIRECTOR DE COMERCIALIZACION,DESHIDRATADORA AGUASCALIENTES,31,DESHIDRATACION Y COMERCIALIZACION DE PRODUCTOS DEL CAMPO,1,01001000112990101220311
4,01,001,0001,1299,010122,04,1,1,01,08, 2,593,FINANZAS INTERNACIONALES,4,2,2,2,1,2,35,2,,,1,1,1,,4,ASESORIA FINANCIERA,11,ASESOR FINANCIERO,SIN NOMBRE,52,DESARROLLAR MODELOS FINANCIEROS,2,01001000112990101220411
4,01,001,0001,1320,010385,02,1,1,01,04, 3,,,,,,,,2,19,2,,,2,1,2,,2,SOLDAR Y PINTAR CARROCERIAS EN UN TALLER,52,SOLDADOR,CARROCERIAS JAIME MONTOYA,33,ARMAN Y REPARAN CARROCERIAS EN UN TALLER,1,01001000113200103850211
4,01,001,0001,1320,010385,03,1,1,02,03, 1,,,,,,,,,,,,,,,1,,4,"ATENDER A CLIENTES, LIMPIAR Y ACOMODAR MERCANCIA DE PAPELERIA",71,DUEÑA DE PAPELERIA,PAPELERIA RACHEL,46,COMPRA VENTA DE ARTICULOS DE PAPELERIA AL MENUDEO,2,01001000113200103850311
4,01,001,0001,1320,010385,04,1,1,03,02, 6,,,,,,,,,,,,,,,1,,1,EMPACADOR DE PAPAYAS,71,EMPACADOR,FRUTAS Y VERDURAS LA ESPERANZA,46,COMERCIALIZAR PAPAYAS Y VERDURAS AL MAYOREO Y MENUDEO EN BOD,2,01001000113200103850411
4,01,001,0001,1320,010385,05,1,1,04,06, 3,186,SECRETARIA ADMINISTRACION Y COMERCIO,2,,,,,1,23,2,,,2,2,5,5,,,,,,,,,01001000113200103850511
4,01,001,0001,159A,010300,01,1,1,02,07, 5,393,CONTADOR PUBLICO,3,2,2,2,1,1,22,2,,,2,2,1,,6,,,,,,,,010010001159A0103000111
4,01,001,0001,159A,010300,02,1,1,01,02, 4,,,,,,,,,,,,,,,5,5,,,,,,,,,010010001159A0103000211
4,01,001,0001,159A,010300,03,1,1,02,07, 4,342,ODONTOLOGIA,3,2,2,2,2,1,22,1,2,2,,,1,,4,ODONTOLOGIA INTEGRAL,11,DENTISTA,CONSULTORIO PARTICULAR,62,ODONTOLOGIA INTEGRAL,1,010010001159A0103000311
4,01,001,0001,159A,010300,04,1,1,01,07, 5,415,INGENIERIA MECANICA ELECTRICA,3,2,1,1,1,1,25,1,2,1,,,1,,1,COORDINA EL DESARROLLO DE SISTEMAS PARA ENCUESTAS POR INTERNET,21,SUBDIRECTOR DE AREA,"INEGI (INSTITUTO NACIONAL DE ESTADISTICA, GEOGRAFIA E INFORM",93,GENERAR ESTADISTICAS,1,010010001159A0103000411
4,01,001,0001,159A,010300,05,1,1,02,05, 3,711,EDUCADORA,2,,,,,2,18,2,,,1,2,5,5,,,,,,,,,010010001159A0103000511
4,01,001,0001,1706,010163,01,1,1,02,07, 5,411,INGENIERO CIVIL,3,2,1,1,1,1,24,2,,,2,1,1,,5,ADMINISTRAR UNA EMPRESA,21,ADMINISTRADOR,DESARROLLADORA Y PAVIMENTOS S.A DE C.V.,23,A LA CONSTRUCCION DE URBANIZACION RENTA DE MAQ.,2,01001000117060101630111
4,01,001,0001,1706,010163,02,1,1,01,07, 3,414,INGENIRIA EN SISTEMAS,3,2,1,1,1,1,23,2,,,2,1,1,,5,ADMINISTRA Y ORGANIZA UN NEGOCIO DE PUBLICIDAD,21,ADMINISTRADOR,R.F. IMAGEN,54,PRODUCE CALCOMANIAS Y MATERIAL PARA PUBLICIDAD Y ANUNCIOS EN,2,01001000117060101630211
4,01,001,0001,1706,010163,03,1,1,01,07, 5,414,INGENIERIA ELECTRICA,3,2,1,1,1,1,24,2,,,2,2,1,,1,"ADMINISTRACION AREA DE PRODUCCION, TRAMITES PAGOS",62,ASISTENTE DE ADMINISTRACION,SISTEMA DE ARNESSES KIS,33,MANUFACTURA DE ARNESES,2,01001000117060101630311
4,01,001,0001,1706,010163,04,1,1,02,06, 3,186,SECRETARIA EJECUTIVA,2,,,,,2,17,2,,,2,1,6,5,,,,,,,,,01001000117060101630411
4,01,001,0001,1706,010163,05,1,1,01,07, 5,413,LIC. EN INFORMATICA,3,2,2,2,1,1,24,2,,,1,2,1,,1,SOPORTE TECNICO EN COMPUTADORAS SOFTWARE,11,SOPORTE A USUARIOS DISK TOP SUPPORT IN SAU SAFEBOT,SOFTTEK,54,PROYECTOS DE CONSULTORIA Y DESARROLLOS DE SOFTWARE,3,01001000117060101630511
4,01,001,0001,1744,010039,02,1,1,02,02, 6,,,,,,,,,,,,,,,5,5,,,,,,,,,01001000117440100390211
4,01,001,0001,1744,010039,03,1,1,03,03, 3,,,,,,,,,,,,,,,1,,2,PESA CARNE EN UNA BASCULA,54,PESADOR,EMPACADORA YESI,31,MATANZA DE ANIMALES Y EMPACADORA (RASTRO),2,01001000117440100390311
4,01,001,0001,1744,010039,04,1,1,01,03, 1,,,,,,,,,,,,,,,1,,2,MANEJA UNA PRENSA PARA HACER VALVULAS AUTOMOTRICES,53,OPERARIO,TRW FABRICANTES DE VALVULAS (FOMASA),33,FABRICA VALVULAS AUTOMOTRICES,1,01001000117440100390411
4,01,001,0001,1744,010039,05,1,1,01,03, 3,,,,,,,,,,,,,,,1,,1,ARCHIVA Y REGISTRA INFORMACION EN COMPUTADORA,62,SUBOFICIAL,PRESIDENCIA MUNICIPAL,93,ADMINISTRACION PUBLICA MUNICIPAL,2,01001000117440100390511
4,01,001,0001,2066,010205,01,1,2,01,02, 6,,,,,,,,,,,,,,,1,,2,EMPACA HILOS (ESTAMBRES EN UNA FABRICA) MANUALMENTE,54,EMPACADOR,HILATURAS DE MEXICO,31,FABRICACION Y VENTA DE ESTAMBRE EN UNA FABRICA,1,01001000120660102050112
4,01,001,0001,2066,010205,01,2,2,01,02, 6,,,,,,,,,,,,,,,6,5,,,,,,,,,01001000120660102050122
4,01,001,0001,2066,010205,02,1,1,04,02, 6,,,,,,,,,,,,,,,4,5,,,,,,,,,01001000120660102050211
4,01,001,0001,2066,010205,03,1,1,02,02, 3,,,,,,,,,,,,,,,5,5,,,,,,,,,01001000120660102050311
4,01,001,0001,2066,010205,04,1,1,04,02, 6,,,,,,,,,,,,,,,1,,1,"BARRE, TRAPEA, SACUDE",82,EMPLEADA DOMESTICA,TRABAJADOR DOMESTICO,81,CASA PARTICULAR,2,01001000120660102050411
4,01,001,0001,2066,010205,05,1,2,01,03, 3,,,,,,,,,,,,,,,1,,1,VIGILA Y GUARDA UN FRACCIONAMIENTO,83,SUBOFICIAL,SECRETARIA DE SEGURIDAD PUBLICA,93,PRESTA UN SERVICIO DE VIGILANCIA Y SEGURIDAD PUBLICA,2,01001000120660102050512
4,01,001,0001,2066,010205,05,2,2,01,02, 6,,,,,,,,,,,,,,,1,,1,"BARRE, TRAPEA, SACUDE, LAVA, PLANCHA",82,EMPLEADA DOMESTICA,ANGELICA RODRIGUEZ GALLARDO,81,HOGAR,2,01001000120660102050522
4,01,001,0001,2206,010151,01,1,1,02,02, 5,,,,,,,,,,,,,,,1,,1,VIGILA UNA EMPRESA DE EMPEÑOS (SEGURIDAD PRIVADA),83,VIGILANTE,FIRST CASH (CASA DE EMPEÑO),52,"COMPRA, VENTA Y EMPEÑOS DE VARIOS",2,01001000122060101510111
4,01,001,0001,2206,010151,02,1,1,03,04, 3,,,,,,,,1,18,2,,,1,1,5,2,1,MOVILIZACION SOCIAL EN UN PARTIDO POLITICO,21,ACTIVISTA,PRI (PARTIDO REVOLUCIONARIO INSTITUCIONAL),81,"PLANIFICA, ELABORA, FORMULA, APRUEBAN LAS ACCIONES A PARTICI",2,01001000122060101510211
4,01,001,0001,2206,010151,03,1,1,02,04, 3,,,,,,,,2,18,2,,,2,1,5,5,,,,,,,,,01001000122060101510311
4,01,001,0001,2206,010151,04,1,1,01,00, 0,,,,,,,,,,,,,,,1,,1,MANEJA UN TRAILER EN CARRETERAS,55,CHOFER DE TRAILER,TRANSPORTES RAUL GONZALEZ M,48,TRANSPORTA MERCANCIA O PRODUCTOS EN TRAILERS A VARIOS ESTADO,2,01001000122060101510411
4,01,001,0001,2206,010151,05,1,2,01,00, 0,,,,,,,,,,,,,,,5,5,,,,,,,,,01001000122060101510512
4,01,001,0001,2206,010151,05,2,2,01,03, 3,,,,,,,,,,,,,,,1,,1,MANEJA UN VEHICULO DE POLICIA PREVENTIVA,83,SUBOFICIAL,SECRETARIA DE SEGURIDAD PUBLICA,93,ADMINISTRACION PUBLICA MUNICIPAL,2,01001000122060101510522
4,01,001,0001,2418,010193,01,1,1,01,06, 2,052,AUX. DE CONTADOR,1,,,,,,,,,,,,1,,1,"SE ACTUALIZA PADRON DE BENEFICIARIOS PROGRAMA VALGO ARCHIVO, ELABORACI",62,SECRETARIA DEL DEPARTAMENTO DE DOCUMENTACION,SECRETARIA DE DESARROLLO SOCIAL GOBIERNO DEL ESTADO DE AGS,93,ADMINISTRACION PUBLICA ESTATAL,2,01001000124180101930111
4,01,001,0001,2418,010193,02,1,1,02,00, 0,,,,,,,,,,,,,,,7,,,,,,,,,,01001000124180101930211
4,01,001,0001,2418,010193,03,1,1,01,03, 2,,,,,,,,,,,,,,,1,,1,TRASLADO DE MAQUINA PESADA DENTRO DEL ESTADO,55,OPERADOR DE TRACTO CAMION,GOBIERNO DEL ESTADO S.O.P,93,ADMINISTRACION PUBLICA ESTATAL,2,01001000124180101930311
4,01,001,0001,2418,010193,04,1,1,05,08, 2,615,INGENIERIA INDUSTRIAL EN PROCESOS DE MANUFACTURA,4,2,1,1,1,1,26,2,,,2,1,1,,1,SUPERVISION DE PERSONAL MECANICO,51,JEFE DE DEPARTAMENTO,PRESIDENCIA MUNICIPAL,93,ADMINISTRACION PUBLICA MUNICIPAL,2,01001000124180101930411
4,01,001,0001,2418,010193,05,1,1,01,02, 3,,,,,,,,,,,,,,,1,,1,COBRA MENSUALIDADES A LOS CLINTES,62,COBRADOR,LOTE DE AUTOS SIN NOMBRE,46,COMPRA VENTA Y CONSIGNACION DE AUTOMOVILES EN UN LOCAL,2,01001000124180101930511
4,01,001,0001,2511,010268,01,1,1,01,04, 3,,,,,,,,1,19,2,,,2,1,1,,1,REPARA Y DA MANTENIMIENTO A EQUIPO DE COMPUTO Y COMUNICACION,12,AUXILIAR DE SISTEMAS,DREAM HOME CONSTRUCTION,23,A LA CONSTRUCCION EN GENERAL,2,01001000125110102680111
4,01,001,0001,2511,010268,02,1,1,01,02, 4,,,,,,,,,,,,,,,5,5,,,,,,,,,01001000125110102680211
4,01,001,0001,2511,010268,03,1,1,02,06, 3,053,COMERCIO,1,,,,,,,,,,,,5,5,,,,,,,,,01001000125110102680311
4,01,001,0001,2511,010268,05,1,1,01,07, 4,373,MERCADOTECNIA Y RELACIONES PUBLICAS,3,2,2,2,2,2,21,1,2,2,,,1,,1,CHECA PEDIMENTOS DE IMPORTACION Y EXPORTACION,62,AUXILIAR,AGENCIA ADUANAL RICARDO MARTINEZ,48,TRAMITA TRAMITES DE IMPORTACION Y EXPORTACION,2,01001000125110102680511
4,01,001,0001,255A,010285,01,1,1,03,04, 3,,,,,,,,1,18,2,,,2,1,1,,2,SUPERVISA MAQUINA PARA ENREDAR HILOS,53,CONERA,TEJIDOS GARCAM,31,PRODUCE TELA PARA UNIFORME DEPORTIVO EN LA FABRICA,1,010010001255A0102850111
4,01,001,0001,255A,010285,02,1,1,01,02, 3,,,,,,,,,,,,,,,6,5,,,,,,,,,010010001255A0102850211
4,01,001,0001,255A,010285,03,1,1,01,03, 3,,,,,,,,,,,,,,,1,,1,AYUDA A ACOMODAR MATERIAL EN UN ALMACEN,62,AUXILIAR DE ALMACEN,LINEA ITALIA,33,FABRICACION DE MUEBLES Y EQUIPO DE OFICINA DE MADERA EN FABR,2,010010001255A0102850311
4,01,001,0001,255A,010285,04,1,1,01,06, 2,141,OPTOMETRISTA TECNICO,2,,,,,2,20,2,,,1,2,3,2,1,CHOFER DE CAMIONETA DE CARGA,55,CHOFER,MAQUINARIA ARCA,53,VENTA Y RENTA DE MAQ. LIGERA PARA CONSTRUCCION,2,010010001255A0102850411
4,01,001,0001,255A,010285,05,1,1,02,03, 3,,,,,,,,,,,,,,,1,,1,"ATIENDE A CLIENTES, DESPACHA GORDITAS",81,EMPLEADA DE LOCAL DE COMIDA,GORDITAS DULCE,72,ELABORA Y PREPARA COMIDA PARA GORDITAS DE MAIZ,2,010010001255A0102850511
4,01,001,0001,2583,010270,01,1,1,01,06, 3,052,CONTADOR PRIVADO,1,,,,,,,,,,,,1,,1,"HACE LLAMADAS, REALIZA OFICIOS, CONTROLES DE DOCUMENTACION OFICIAL",62,SECRETARIA,INEGI FEDERAL,93,"DIFUNDE INFORMACION DE ESTADISTICAS, GEOGRAFIA E INFORMATICA",1,01001000125830102700111
4,01,001,0001,2583,010270,03,1,1,01,03, 2,,,,,,,,,,,,,,,1,,3,INSTALACION Y REPARACION DE PLOMERIA MANUALMENTE EN GENERAL,52,PLOMERO,TERZETO (ING. GENARO ESPARZA ESQUEDA),23,PRESTA SERVICIOS DE INSTALACIONES HIDRAULICAS Y DE GAS EN LO,2,01001000125830102700311
4,01,001,0001,262A,010328,01,1,1,03,07, 4,392,LICENCIADA EN ADMINISTRACION DE EMPRESAS,3,2,2,2,1,1,23,1,2,1,,,1,,1,"COMPRAS, PAGOS A PROVEEDORES, ENTRADAS Y SALIDAS DE ALMACEN",62,AUXILIAR ADMINISTRATIVO,VIDEOS SENSACION,33,FABRICACION Y REPARACION DE MAQUINAS DE VIDEOJUEGOS,2,010010001262A0103280111
4,01,001,0001,262A,010328,03,1,1,02,02, 3,,,,,,,,,,,,,,,1,,1,HACE QUEHACER EN CASA PARTICULAR,82,EMPLEADA DOMESTICA,TRABAJADOR DOMESTICO,81,CASA PARTICULAR,2,010010001262A0103280311
4,01,001,0001,262A,010328,04,1,1,01,02, 3,,,,,,,,,,,,,,,1,,2,"OPERADOR DE MAQUINARIA PESADA, URIBO COMPACTADOR, COMPACTAR EL TERRENO",55,OPERADOR DE MAQUINARIA PESADA,CONSTRUCTORA PEASA,23,CONSTRUYE NAVES INDUSTRIALES DESDE CIMIENTOS,2,010010001262A0103280411
4,01,001,0001,2668,010326,01,1,2,03,02, 6,,,,,,,,,,,,,,,1,,2,EMPACADORA DE SABANAS,54,EMPACADORA,VIAM S.A DE C.V.,43,DISTRIBUCION DE SABANAS A DISTINTOS NEGOCIOS PARA SU VENTA,2,01001000126680103260112
4,01,001,0001,2668,010326,01,2,2,02,03, 3,,,,,,,,,,,,,,,5,5,,,,,,,,,01001000126680103260122
4,01,001,0001,2668,010326,02,1,1,01,02, 1,,,,,,,,,,,,,,,1,,4,"DESPACHAR A LA GENTE, LIMPIAR LA TIENDA, ACOMODAR MERCANCIA",71,DUEÑO DE TIENDA DE ABARROTES,TIENDA DE ABARROTES SANTA TERESITA,46,COMPRA VENTA DE MERCANCIA AL MENUDEO DE ABARROTES,2,01001000126680103260211
4,01,001,0001,2668,010326,03,1,1,03,03, 3,,,,,,,,,,,,,,,1,,2,SOLDAR ALAMBRE EN FABRICA PARA PIEZAS DE ASIENTOS,53,OBRERO,DISEÑO CENTRAL,33,FABRICACION DE PIEZAS PARA ASIENTOS,2,01001000126680103260311
4,01,001,0001,2668,010326,04,1,1,01,03, 3,,,,,,,,,,,,,,,1,,2,CARGAR Y DESCARGAR MERCANCIA DE TRAILER,81,ESTIBADOR,LA COSTENA SABOR MEXICANO,32,"PRODUCE SHAMPOO, MERMELADA, ETC EN LA FABRICA",2,01001000126680103260411
4,01,001,0001,2668,010326,05,1,1,01,02, 1,,,,,,,,,,,,,,,1,,1,"ARREGLA JARDINES, PODA, RIEGA",81,JARDINERO,LUIS DE LA CRUZ,56,PRESTA SERVICIOS DE JARDINERIA EN DOMICILIO DE LOS CLIENTES,2,01001000126680103260511
4,01,001,0001,2719,010074,01,1,1,02,07, 5,392,LIC. EN ADMINISTRACION DE EMPRESAS,3,2,2,2,1,1,21,2,,,2,2,1,,1,DOCENCIA EN NIVEL BACHILLERATO,13,MAESTRA,CONALEP,61,ENSEÑANZA EN NIVEL TECNICO Y PREPARATORIA,1,01001000127190100740111
4,01,001,0001,2719,010074,02,1,1,01,06, 4,053,COMERCIO,1,,,,,,,,,,,,6,5,,,,,,,,,01001000127190100740211
4,01,001,0001,2719,010074,03,1,1,02,03, 3,,,,,,,,,,,,,,,5,5,,,,,,,,,01001000127190100740311
4,01,001,0001,2719,010074,04,1,1,01,04, 3,,,,,,,,1,24,2,,,1,1,1,,4,VENDE TORTILLA DE HARINA Y GALLETAS EN TIENDAS,71,COMERCIANTE,LA SUPREMA,43,COMPRA VENTA DE TORTILLAS Y GALLETAS,1,01001000127190100740411
4,01,001,0001,2719,010196,01,1,1,02,03, 3,,,,,,,,,,,,,,,5,5,,,,,,,,,01001000127190101960111
4,01,001,0001,2719,010196,03,1,1,01,07, 5,374,DERECHO,3,2,2,2,2,2,23,2,,,1,1,1,,1,"HACE PEDIDOS, ATIENDE CLIENTES",71,EMPLEADO DE MOSTRADOR,FARMACIA DEL SAGRADO CORAZON,46,COMPRA Y VENTA DE MEDICAMENTOS Y VARIOS,2,01001000127190101960311
4,01,001,0001,2719,010196,04,1,1,03,07, 1,392,ADMINISTRACION DE EMPRESAS,3,2,2,2,1,1,18,1,2,1,,,1,,1,MANEJA UN TAXI,55,TAXISTA,TAXI SIN NOMBRE,48,TRANSPORTE PUBLICO,2,01001000127190101960411
4,01,001,0001,2719,010196,05,1,1,02,03, 3,,,,,,,,,,,,,,,5,5,,,,,,,,,01001000127190101960511
4,01,001,0001,2795,010047,01,1,1,01,03, 2,,,,,,,,,,,,,,,3,1,4,VENDE FIERROS DE TODOS TIPOS USADOS,71,VENDEDOR AMBULANTE,VENDEDOR AMBULANTE POR CUENTA PROPIA,43,VENDE FIERRO USADOS EN LA CALLE,2,01001000127950100470111
4,01,001,0001,2795,010047,02,1,1,01,02, 5,,,,,,,,,,,,,,,1,,4,VENDE Y PREPARA FRUTAS Y TACOS EN LA VIA PUBLICA,72,VENDEDOR AMBULANTE,VENDEDOR AMBULANTE SIN NOMBRE,72,ELABORA Y VENDE FRUTA Y TACOS EN UN PUESTO EN LA VIA PUBLICA,2,01001000127950100470211
4,01,001,0001,2795,010047,04,1,1,01,02, 3,,,,,,,,,,,,,,,1,,2,DESHEBRANDO PRENDAS DE VESTIR,54,DESHEBRADORA,TALLER DE COSTURA,31,MAQUILA DE CAMISAS DE CABALLERO DE TELA EN LA FABRICA,2,01001000127950100470411
4,01,001,0001,2795,010047,05,1,2,01,02, 3,,,,,,,,,,,,,,,1,,1,"LIMPIA OFICINA, LABORATORIO, ASEO EN GENERAL",81,AYUDANTE DE LIMPIEZA,LIMPIEZA GUILLERMO,56,PRESTA SERVICIOS A EMPRESAS PARA LIMPIEZA EN GENERAL,3,01001000127950100470512
4,01,001,0001,2795,010047,05,2,2,01,03, 3,,,,,,,,,,,,,,,2,,1,RECIBIENDO REPORTES DE LA CIUDADANIA,83,SUBOFICIAL,MUNICIPAL SECRETARIA DE SEGURIDAD PUBLICA,93,DAR SEGURIDAD A LA CIUDADANIA,2,01001000127950100470522
4,02,004,0001,0511,020127,01,1,1,01,02, 6,,,,,,,,,,,,,,,1,,4,tomar fotos y los revela y entrega las fotografias,12,fotografo ambulante,sin nombre,54,servicio de fotografia en cuadros,2,02004000105110201270111
4,02,004,0001,0511,020127,02,1,1,01,00, 0,,,,,,,,,,,,,,,1,,4,atender a los clientes despacharlos y cobrar,71,comerciante de abarrotes,abarrotes sin nombre,46,venta de abarrotes y productos varios al menudeo,2,02004000105110201270211
4,02,004,0001,0511,020127,03,1,1,02,03, 3,,,,,,,,,,,,,,,5,5,,,,,,,,,02004000105110201270311
4,02,004,0001,0511,020127,04,1,1,01,04, 2,,,,,,,,1,18,2,,,2,2,1,,1,cobranza a los clientes,62,cobrador,ace home center,46,compra y venta de materiales para construccion y ferreteria,2,02004000105110201270411
