,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P26_5,Debería haber mayor coordinación entre los investigadores de las diferentes instituciones del país,Int,1,[1-5],Debería haber mayor coordinación entre los investigadores de las diferentes instituciones del país
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P26_6,Los científicos y los empresarios deberían cooperar más entre sí,Int,1,[1-5],Los científicos y los empresarios deberían cooperar más entre sí
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P26_7,"Las prioridades en la investigación
nacional reflejan más los gustos personales de los científicos mexicanos que las necesidades de la sociedad",Int,1,[1-5],Las prioridades en la investigación nacional reflejan más los gustos personales de los científicos mexicanos que las necesidades de la sociedad
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P26_8,Los científicos deberían interesarse más en patentar sus investigaciones y en el uso que se les dé,Int,1,[1-5],Los científicos deberían interesarse más en patentar sus investigaciones y en el uso que se les dé
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P26_9,Los mexicanos deberían estar menos preocupados acerca de las implicaciones éticas relacionadas con la ciencia y las tecnologías modernas,Int,1,[1-5],Los mexicanos deberían estar menos preocupados acerca de las implicaciones éticas relacionadas con la ciencia y las tecnologías modernas
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P26_10,Debería haber más mujeres dedicadas a la investigación científica en nuestro país,Int,1,[1-5],Debería haber más mujeres dedicadas a la investigación científica en nuestro país
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P26_11,El gobierno debe impulsar que las personas participen en debates sobre la asignación de presupuesto para ciencia y tecnologia,Int,1,[1-5],El gobierno debe impulsar que las personas participen en debates sobre la asignación de presupuesto para ciencia y tecnologia
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
,,,,,En cuanto a la sociedad en general:
S4P27_1,La investigación y el desarrollo tecnológico llevadas a cabo por la industria están bien controladas y reguladas,Int,1,[1-5],La investigación y el desarrollo tecnológico llevadas a cabo por la industria están bien controladas y reguladas
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P27_2,Los funcionarios públicos deben confiar más sus decisiones en las opiniones de científicos expertos,Int,1,[1-5],Los funcionarios públicos deben confiar más sus decisiones en las opiniones de científicos expertos
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P27_3,Para la sociedad en general no es importante estar involucrada en decisiones acerca de ciencia y tecnología,Int,1,[1-5],Para la sociedad en general no es importante estar involucrada en decisiones acerca de ciencia y tecnología
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P27_4,El público está suficientemente involucrado en decisiones acerca de ciencia y tecnología,Int,1,[1-5],El público está suficientemente involucrado en decisiones acerca de ciencia y tecnología
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P27_5,Los científicos ponen muy poco esfuerzo por informar al público acerca de sus trabajos científicos o desarrollos tecnológicos,Int,1,[1-5],Los científicos ponen muy poco esfuerzo por informar al público acerca de sus trabajos científicos o desarrollos tecnológicos
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
,,,,,"En cuanto a los jóvenes: De las siguientes afirmaciones sobre el interés de los jóvenes en la ciencia, dígame si está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo."
S4P28₁,El interés en la ciencia de parte de los jóvenes es esencial para un futuro próspero,Int,1,[1-5],El interés en la ciencia de parte de los jóvenes es esencial para un futuro próspero
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
,,,,,"Voy a leer algunas afirmaciones como las que usted podría encontrar en un periódico o revista. Para cada una de ellas, dígame por favor si está muy de acuerdo, de acuer-
do, en desacuerdo o muy en desacuerdo."
S4P33_1,Confiamos demasiado en la fe y muy poco en la ciencia,Int,1,[1-5],"Confiamos demasiado en la fe
y muy poco en la ciencia"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P33_2,La aplicación de la ciencia hace que nuestro modo de vida cambie demasiado rápido,Int,1,[1-5],La aplicación de la ciencia hace que nuestro modo de vida cambie demasiado rápido
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P33_3,Algunos números son de la suerte,Int,1,[1-5],Algunos números son de la suerte
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P33_4,El desarrollo tecnológico origina una manera de vivir artificial y deshumanizada,Int,1,[1-5],El desarrollo tecnológico origina una manera de vivir artificial y deshumanizada
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P33_5,"“Algunos de los objetos voladores no identificados que se han reportado,
son en realidad vehículos espaciales de otras civilizaciones”",Int,1,[1-5],"""Algunos de los objetos voladores no identificados que se han reportado,
son en realidad vehículos espaciales de otras civilizaciones"""
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P33_6,Algunas personas poseen poderes psíquicos,Int,1,[1-5],Algunas personas poseen poderes psíquicos
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P33_7,"Existen medios adecuados para el tratamiento de
enfermedades que la ciencia no reconoce (acupuntura, quiropráctica, homeopatía, limpias)",Int,1,[1-5],"Existen medios adecuados para el tratamiento de enfermedades que la ciencia no reconoce (acupuntura, quiropráctica, homeopatía, limpias)"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
